vol;deb;fin;frequence
AF007;28/04/2024;28/04/2024;7
AF007;05/05/2024;07/05/2024;127
AF007;08/05/2024;12/05/2024;34567
AF007;13/05/2024;23/05/2024;1234567
AF007;24/05/2024;25/05/2024;56
AF007;26/05/2024;25/10/2024;1234567
AF007;27/10/2024;01/11/2024;123457
AF007L;20/01/2024;29/03/2025;6
AF007L;16/01/2024;28/03/2025;123457
AF008;01/02/2024;09/03/2024;1234567
AF008;10/03/2024;30/03/2024;1234567
AF008;31/03/2024;05/04/2024;57
AF008;01/04/2024;03/04/2024;123
AF008;04/04/2024;07/04/2024;47
AF008;06/04/2024;06/04/2024;6
AF008;08/04/2024;11/04/2024;1234
AF008;12/04/2024;19/04/2024;56
AF008;14/04/2024;14/04/2024;7
AF008;15/04/2024;21/04/2024;1237
AF008;18/04/2024;20/04/2024;46
AF008;22/04/2024;22/04/2024;1
AF008;25/04/2024;04/05/2024;123456
AF008;08/05/2024;12/05/2024;34567
AF008;28/04/2024;28/04/2024;7
AF008;05/05/2024;07/05/2024;127
AF008;13/05/2024;23/05/2024;1234567
AF008;24/05/2024;25/05/2024;56
AF008;26/05/2024;26/10/2024;1234567
AF008;27/10/2024;02/11/2024;1234567
AF008D;16/01/2024;31/12/2025;12347
AF008M;16/01/2024;30/03/2025;12347
AF008N;06/02/2024;06/02/2024;2
AF008N;07/02/2024;07/02/2024;3
AF009;31/01/2024;06/02/2024;123467
AF009;09/02/2024;09/03/2024;1234567
AF009;11/03/2024;30/03/2024;1234567
AF009;31/03/2024;31/03/2024;7
AF009;01/04/2024;28/04/2024;1234567
AF009;29/04/2024;04/05/2024;123456
AF009;05/05/2024;19/05/2024;1234567
AF009;20/05/2024;25/05/2024;123456
AF009;26/05/2024;02/06/2024;567
AF009;27/05/2024;30/05/2024;1234
AF009;03/06/2024;30/06/2024;1234567
AF009;26/08/2024;25/10/2024;1234567
AF009;01/07/2024;25/08/2024;1234567
AF009;26/10/2024;26/10/2024;6
AF009;28/10/2024;01/11/2024;12345
AF009L;16/01/2024;30/03/2025;12347
AF010;31/01/2024;06/02/2024;2346
AF010;09/02/2024;09/03/2024;1234567
AF010;10/03/2024;30/03/2024;1234567
AF010;31/03/2024;28/04/2024;1234567
AF010;29/04/2024;04/05/2024;123456
AF010;05/05/2024;19/05/2024;1234567
AF010;20/05/2024;25/05/2024;123456
AF010;26/05/2024;02/06/2024;567
AF010;27/05/2024;30/05/2024;1234
AF010;03/06/2024;30/06/2024;1234567
AF010;26/08/2024;26/10/2024;1234567
AF010;01/07/2024;25/08/2024;1234567
AF010;27/10/2024;02/11/2024;1234567
AF010D;18/01/2024;31/12/2025;4
AF010D;16/01/2024;31/12/2025;1237
AF010L;16/01/2024;31/03/2025;1234567
AF010M;16/01/2024;30/03/2025;12347
AF011;23/05/2024;25/05/2024;46
AF011;27/05/2024;30/05/2024;14
AF011;28/05/2024;28/05/2024;2
AF011;01/06/2024;26/10/2024;1234567
AF011;27/10/2024;27/10/2024;7
AF011;28/10/2024;02/11/2024;123456
AF011L;16/01/2024;31/03/2025;1234
AF011L;19/01/2024;28/03/2025;5
AF012;22/05/2024;24/05/2024;35
AF012;26/05/2024;31/05/2024;357
AF012;27/05/2024;27/05/2024;1
AF012;01/06/2024;26/10/2024;1234567
AF012;27/10/2024;02/11/2024;1234567
AF012D;16/01/2024;31/12/2025;12347
AF012L;16/01/2024;31/03/2025;1234
AF012L;19/01/2024;28/03/2025;5
AF012M;16/01/2024;30/03/2025;12347
AF013L;16/01/2024;30/03/2025;12347
AF014L;20/01/2024;29/03/2025;6
AF015L;19/01/2024;28/03/2025;5
AF015L;16/01/2024;24/03/2025;1234
AF016D;16/01/2024;31/12/2025;12347
AF016L;16/01/2024;28/03/2025;1234567
AF016M;16/01/2024;30/03/2025;12347
AF017L;16/01/2024;28/03/2025;12345
AF018D;16/01/2024;31/12/2025;12347
AF018L;16/01/2024;30/03/2025;12347
AF018L;19/01/2024;28/03/2025;5
AF018M;16/01/2024;30/03/2025;12347
AF019L;16/01/2024;28/03/2025;12345
AF020;04/04/2024;25/04/2024;24
AF020;06/04/2024;27/04/2024;6
AF020;29/04/2024;11/05/2024;16
AF020;02/05/2024;02/05/2024;4
AF020;09/05/2024;09/05/2024;4
AF020;13/05/2024;13/05/2024;1
AF020;16/05/2024;16/05/2024;4
AF020;18/05/2024;18/05/2024;6
AF020;20/05/2024;20/05/2024;1
AF020;23/05/2024;30/05/2024;4
AF020;25/05/2024;25/05/2024;6
AF020;01/06/2024;01/06/2024;6
AF020;03/06/2024;30/06/2024;1234567
AF020;01/07/2024;01/09/2024;1234567
AF020;02/09/2024;26/10/2024;13567
AF020D;16/01/2024;31/12/2025;12347
AF020M;16/01/2024;30/03/2025;12347
AF021;04/04/2024;25/04/2024;24
AF021;06/04/2024;27/04/2024;6
AF021;29/04/2024;11/05/2024;16
AF021;02/05/2024;02/05/2024;4
AF021;09/05/2024;09/05/2024;4
AF021;16/05/2024;16/05/2024;4
AF021;18/05/2024;18/05/2024;6
AF021;20/05/2024;20/05/2024;1
AF021;23/05/2024;30/05/2024;4
AF021;25/05/2024;25/05/2024;6
AF021;27/05/2024;27/05/2024;1
AF021;01/06/2024;01/06/2024;6
AF021;03/06/2024;10/06/2024;12346
AF021;07/06/2024;30/06/2024;2457
AF021;12/06/2024;29/06/2024;136
AF021;01/07/2024;01/09/2024;1234567
AF021;02/09/2024;25/10/2024;13567
AF021;26/10/2024;26/10/2024;6
AF021L;16/01/2024;27/03/2025;1234
AF021L;19/01/2024;28/03/2025;5
AF022;31/03/2024;21/04/2024;1234567
AF022;22/04/2024;22/04/2024;1
AF022;23/04/2024;25/05/2024;1234567
AF022;26/05/2024;26/10/2024;1234567
AF022;27/10/2024;28/10/2024;17
AF022;29/10/2024;02/11/2024;23456
AF022D;16/01/2024;31/12/2025;12347
AF022L;16/01/2024;28/03/2025;12345
AF022M;16/01/2024;30/03/2025;12347
AF023;31/03/2024;28/04/2024;2457
AF023;01/04/2024;17/04/2024;13
AF023;06/04/2024;27/04/2024;6
AF023;22/04/2024;22/04/2024;1
AF023;24/04/2024;24/04/2024;3
AF023;29/04/2024;20/05/2024;16
AF023;30/04/2024;23/05/2024;24
AF023;01/05/2024;24/05/2024;357
AF023;25/05/2024;25/05/2024;6
AF023;26/05/2024;02/06/2024;357
AF023;27/05/2024;27/05/2024;1
AF023;28/05/2024;30/05/2024;24
AF023;01/06/2024;01/06/2024;6
AF023;03/06/2024;02/09/2024;1234567
AF023;03/09/2024;24/10/2024;24
AF023;04/09/2024;25/10/2024;13567
AF023;26/10/2024;26/10/2024;6
AF023;27/10/2024;28/10/2024;17
AF023;29/10/2024;02/11/2024;23456
AF023L;16/01/2024;31/03/2025;12345
AF024;31/03/2024;28/04/2024;2457
AF024;01/04/2024;24/04/2024;13
AF024;06/04/2024;27/04/2024;6
AF024;29/04/2024;25/05/2024;16
AF024;30/04/2024;23/05/2024;24
AF024;01/05/2024;24/05/2024;357
AF024;26/05/2024;02/06/2024;357
AF024;27/05/2024;01/06/2024;16
AF024;28/05/2024;30/05/2024;24
AF024;03/06/2024;02/09/2024;12346
AF024;07/06/2024;25/10/2024;57
AF024;03/09/2024;24/10/2024;24
AF024;04/09/2024;26/10/2024;136
AF024;27/10/2024;28/10/2024;17
AF024;29/10/2024;02/11/2024;23456
AF024D;16/01/2024;31/12/2025;12347
AF024L;16/01/2024;28/03/2025;12345
AF024M;16/01/2024;30/11/2025;1237
AF024M;18/01/2024;27/11/2025;4
AF025;31/03/2024;28/04/2024;2457
AF025;01/04/2024;24/04/2024;13
AF025;06/04/2024;27/04/2024;6
AF025;29/04/2024;25/05/2024;16
AF025;30/04/2024;23/05/2024;24
AF025;01/05/2024;24/05/2024;357
AF025;26/05/2024;02/06/2024;357
AF025;27/05/2024;01/06/2024;16
AF025;28/05/2024;30/05/2024;24
AF025;03/06/2024;02/09/2024;1234567
AF025;03/09/2024;24/10/2024;24
AF025;04/09/2024;25/10/2024;13567
AF025;26/10/2024;26/10/2024;6
AF025;27/10/2024;28/10/2024;17
AF025;29/10/2024;02/11/2024;23456
AF025L;16/01/2024;30/03/2025;12347
AF026;04/03/2024;04/03/2024;1
AF026;06/03/2024;08/03/2024;35
AF026;09/03/2024;09/03/2024;6
AF026;11/03/2024;11/03/2024;1
AF026;15/03/2024;22/03/2024;5
AF026;16/03/2024;16/03/2024;6
AF026;18/03/2024;25/03/2024;1
AF026;20/03/2024;20/03/2024;3
AF026;27/03/2024;27/03/2024;3
AF026;29/03/2024;29/03/2024;5
AF026;01/04/2024;01/06/2024;16
AF026;04/04/2024;30/05/2024;4
AF026;03/06/2024;24/10/2024;146
AF026;26/10/2024;26/10/2024;6
AF026;29/10/2024;02/11/2024;246
AF026D;16/01/2024;31/12/2025;247
AF026L;16/01/2024;30/03/2025;12347
AF026M;16/01/2024;30/03/2025;247
AF027;04/03/2024;04/03/2024;1
AF027;06/03/2024;08/03/2024;35
AF027;09/03/2024;09/03/2024;6
AF027;11/03/2024;11/03/2024;1
AF027;14/03/2024;14/03/2024;4
AF027;21/03/2024;28/03/2024;46
AF027;15/03/2024;22/03/2024;5
AF027;16/03/2024;16/03/2024;6
AF027;18/03/2024;25/03/2024;1
AF027;20/03/2024;20/03/2024;3
AF027;27/03/2024;27/03/2024;3
AF027;29/03/2024;29/03/2024;5
AF027;02/04/2024;02/06/2024;27
AF027;05/04/2024;31/05/2024;5
AF027;04/06/2024;25/10/2024;257
AF027;27/10/2024;27/10/2024;7
AF027;30/10/2024;01/11/2024;35
AF027L;16/01/2024;31/03/2025;1234
AF027L;19/01/2024;28/03/2025;5
AF028;31/03/2024;31/03/2024;7
AF028;02/04/2024;02/06/2024;27
AF028;04/06/2024;22/10/2024;27
AF028;27/10/2024;27/10/2024;7
AF028D;16/01/2024;31/12/2025;12347
AF028M;16/01/2024;30/03/2025;12347
AF029;01/04/2024;03/06/2024;13
AF029;05/06/2024;23/10/2024;13
AF029;28/10/2024;28/10/2024;1
AF029L;16/01/2024;28/03/2025;12345
AF030;31/03/2024;06/04/2024;2467
AF030;01/04/2024;24/05/2024;135
AF030;07/04/2024;21/04/2024;7
AF030;09/04/2024;27/04/2024;246
AF030;28/04/2024;04/05/2024;267
AF030;02/05/2024;05/05/2024;47
AF030;07/05/2024;25/05/2024;2467
AF030;26/05/2024;26/10/2024;2467
AF030;27/05/2024;25/10/2024;135
AF030;27/10/2024;28/10/2024;17
AF030;29/10/2024;02/11/2024;23456
AF030L;16/01/2024;28/03/2025;125
AF031;31/03/2024;06/04/2024;2467
AF031;01/04/2024;01/04/2024;1
AF031;03/04/2024;05/04/2024;35
AF031;07/04/2024;26/04/2024;1357
AF031;09/04/2024;27/04/2024;246
AF031;28/04/2024;04/05/2024;123567
AF031;02/05/2024;05/05/2024;47
AF031;06/05/2024;24/05/2024;1234567
AF031;25/05/2024;25/05/2024;6
AF031;26/05/2024;22/06/2024;567
AF031;27/05/2024;20/06/2024;1234
AF031;23/06/2024;30/06/2024;234567
AF031;24/06/2024;24/06/2024;1
AF031;01/07/2024;25/10/2024;1234567
AF031;26/10/2024;26/10/2024;6
AF031;27/10/2024;28/10/2024;17
AF031;29/10/2024;02/11/2024;23456
AF032;31/03/2024;04/04/2024;12347
AF032;05/04/2024;08/04/2024;15
AF032;07/04/2024;21/04/2024;7
AF032;09/04/2024;09/04/2024;2
AF032;10/04/2024;24/05/2024;135
AF032;11/04/2024;11/04/2024;4
AF032;13/04/2024;18/04/2024;246
AF032;20/04/2024;20/04/2024;6
AF032;23/04/2024;30/04/2024;246
AF032;28/04/2024;28/04/2024;7
AF032;02/05/2024;05/05/2024;47
AF032;04/05/2024;04/05/2024;6
AF032;07/05/2024;25/05/2024;2467
AF032;26/05/2024;26/10/2024;1234567
AF032;27/10/2024;28/10/2024;17
AF032;29/10/2024;02/11/2024;23456
AF032L;16/01/2024;27/03/2025;1234
AF032L;19/01/2024;28/03/2025;5
AF033;31/03/2024;02/04/2024;27
AF033;01/04/2024;03/04/2024;13
AF033;04/04/2024;06/04/2024;46
AF033;05/04/2024;08/04/2024;15
AF033;07/04/2024;14/04/2024;7
AF033;09/04/2024;09/04/2024;2
AF033;10/04/2024;19/04/2024;135
AF033;11/04/2024;11/04/2024;4
AF033;13/04/2024;18/04/2024;246
AF033;20/04/2024;20/04/2024;6
AF033;21/04/2024;21/04/2024;7
AF033;22/04/2024;03/05/2024;135
AF033;23/04/2024;27/04/2024;246
AF033;28/04/2024;28/04/2024;7
AF033;30/04/2024;30/04/2024;2
AF033;02/05/2024;05/05/2024;47
AF033;04/05/2024;04/05/2024;6
AF033;06/05/2024;24/05/2024;135
AF033;07/05/2024;25/05/2024;2467
AF033;26/05/2024;01/06/2024;2467
AF033;27/05/2024;31/05/2024;135
AF033;02/06/2024;23/06/2024;7
AF033;03/06/2024;28/06/2024;135
AF033;04/06/2024;28/09/2024;246
AF033;30/06/2024;29/09/2024;7
AF033;01/07/2024;21/10/2024;1
AF033;03/07/2024;27/09/2024;35
AF033;01/10/2024;24/10/2024;2467
AF033;02/10/2024;25/10/2024;35
AF033;26/10/2024;26/10/2024;6
AF033;27/10/2024;28/10/2024;17
AF033;29/10/2024;02/11/2024;23456
AF033L;16/01/2024;31/03/2025;12345
AF034;03/04/2024;05/04/2024;35
AF034;07/04/2024;21/04/2024;7
AF034;10/04/2024;24/04/2024;35
AF034;26/04/2024;26/04/2024;5
AF034;28/04/2024;04/05/2024;267
AF034;29/04/2024;03/05/2024;135
AF034;06/05/2024;30/08/2024;135
AF034;07/05/2024;25/05/2024;26
AF034;28/05/2024;26/10/2024;2467
AF034;27/10/2024;27/10/2024;7
AF034;29/10/2024;02/11/2024;246
AF034L;16/01/2024;31/03/2025;12345
AF035;03/04/2024;05/04/2024;35
AF035;07/04/2024;21/04/2024;7
AF035;10/04/2024;24/04/2024;35
AF035;26/04/2024;26/04/2024;5
AF035;28/04/2024;04/05/2024;267
AF035;29/04/2024;03/05/2024;135
AF035;06/05/2024;30/08/2024;135
AF035;07/05/2024;25/05/2024;26
AF035;28/05/2024;24/10/2024;2467
AF035;27/10/2024;27/10/2024;7
AF035;29/10/2024;02/11/2024;246
AF035L;16/01/2024;31/03/2025;123457
AF036L;16/01/2024;31/03/2025;123
AF036L;18/01/2024;27/03/2025;4
AF036L;19/01/2024;28/03/2025;5
AF040;27/05/2024;27/05/2024;1
AF040L;16/01/2024;28/03/2025;12345
AF041;13/05/2024;13/05/2024;1
AF041L;18/01/2024;27/03/2025;4
AF041L;16/01/2024;28/03/2025;1235
AF042;20/06/2024;21/06/2024;45
AF042L;18/01/2024;27/03/2025;4
AF043;15/06/2024;16/06/2024;67
AF043L;16/01/2024;28/03/2025;12345
AF045L;16/01/2024;31/03/2025;1234
AF045L;19/01/2024;28/03/2025;5
AF046L;16/01/2024;31/03/2025;123457
AF046M;16/01/2024;27/03/2025;24
AF047L;16/01/2024;31/03/2025;123456
AF049;31/03/2024;31/03/2024;7
AF049L;16/01/2024;27/03/2025;12345
AF049M;16/01/2024;28/03/2025;12345
AF050;31/03/2024;10/05/2024;357
AF050;01/04/2024;11/05/2024;1246
AF050;12/05/2024;26/10/2024;1234567
AF050;27/10/2024;01/11/2024;1357
AF050;29/10/2024;02/11/2024;246
AF050L;16/01/2024;27/03/2025;1234
AF050L;19/01/2024;28/03/2025;5
AF051;31/03/2024;10/05/2024;357
AF051;01/04/2024;11/05/2024;1246
AF051;12/05/2024;25/05/2024;1234567
AF051;26/05/2024;25/10/2024;1234567
AF051;26/10/2024;26/10/2024;6
AF051;27/10/2024;01/11/2024;1357
AF051;29/10/2024;02/11/2024;246
AF051L;16/01/2024;26/03/2025;1234
AF051L;19/01/2024;28/03/2025;5
AF051M;16/01/2024;30/03/2025;1234567
AF052;31/03/2024;31/03/2024;7
AF052;03/04/2024;05/04/2024;35
AF052;07/04/2024;07/04/2024;7
AF052;10/04/2024;05/05/2024;357
AF052;08/05/2024;10/05/2024;35
AF052;12/05/2024;12/05/2024;7
AF052;13/05/2024;15/05/2024;123
AF052;17/05/2024;25/05/2024;1234567
AF052;26/05/2024;29/05/2024;1237
AF052;31/05/2024;26/10/2024;1234567
AF052;27/10/2024;01/11/2024;1357
AF052L;16/01/2024;25/03/2025;12
AF052L;18/01/2024;28/03/2025;45
AF052M;16/01/2024;28/03/2025;12345
AF053;31/03/2024;31/03/2024;7
AF053;03/04/2024;05/04/2024;35
AF053;07/04/2024;07/04/2024;7
AF053;10/04/2024;05/05/2024;357
AF053;08/05/2024;10/05/2024;35
AF053;12/05/2024;12/05/2024;7
AF053;13/05/2024;15/05/2024;123
AF053;17/05/2024;25/05/2024;1234567
AF053;26/05/2024;29/05/2024;1237
AF053;31/05/2024;25/10/2024;1234567
AF053;26/10/2024;26/10/2024;6
AF053;27/10/2024;01/11/2024;1357
AF053L;19/01/2024;28/03/2025;5
AF054;26/01/2024;12/02/2024;134567
AF054;14/02/2024;09/03/2024;1234567
AF054;10/03/2024;30/03/2024;1234567
AF054L;16/01/2024;30/03/2025;12347
AF055;27/01/2024;12/02/2024;134567
AF055;14/02/2024;09/03/2024;1234567
AF055;10/03/2024;29/03/2024;1234567
AF055;30/03/2024;30/03/2024;6
AF055L;16/01/2024;31/03/2025;12345
AF055M;16/01/2024;28/03/2025;235
AF056L;16/01/2024;30/03/2025;12347
AF056M;16/01/2024;28/03/2025;12345
AF057L;19/01/2024;28/03/2025;5
AF057M;17/01/2024;26/03/2025;3
AF058L;16/01/2024;28/03/2025;12345
AF059L;16/01/2024;31/03/2025;12345
AF060M;16/01/2024;28/03/2025;2345
AF060M;22/01/2024;24/03/2025;1
AF062;27/01/2024;09/03/2024;1234567
AF062;10/03/2024;30/03/2024;1234567
AF062;31/03/2024;25/05/2024;1234567
AF062;26/05/2024;26/10/2024;1234567
AF062;27/10/2024;02/11/2024;1234567
AF063;27/01/2024;09/03/2024;1234567
AF063;10/03/2024;29/03/2024;1234567
AF063;30/03/2024;30/03/2024;6
AF063;31/03/2024;25/05/2024;1234567
AF063;26/05/2024;25/10/2024;1234567
AF063;26/10/2024;26/10/2024;6
AF063;27/10/2024;02/11/2024;1234567
AF065;16/01/2024;09/03/2024;1234567
AF065;10/03/2024;29/03/2024;1234567
AF065;30/03/2024;30/03/2024;6
AF066;16/01/2024;09/03/2024;1234567
AF066;10/03/2024;30/03/2024;1234567
AF066M;16/01/2024;28/03/2025;12345
AF068;23/05/2024;26/10/2024;246
AF068;29/10/2024;29/03/2025;246
AF068M;16/01/2024;28/03/2025;12345
AF069;08/02/2024;10/02/2024;456
AF069;11/02/2024;11/02/2024;7
AF069;12/02/2024;12/02/2024;1
AF069;14/02/2024;09/03/2024;1234567
AF069;10/03/2024;12/03/2024;127
AF069;14/03/2024;24/03/2024;1234567
AF069;25/03/2024;27/03/2024;123
AF069;28/03/2024;28/03/2024;4
AF069;29/03/2024;29/03/2024;5
AF069;30/03/2024;30/03/2024;6
AF069;23/05/2024;24/10/2024;246
AF069;26/10/2024;26/10/2024;6
AF069;29/10/2024;27/03/2025;246
AF069M;16/01/2024;27/03/2025;24
AF070D;06/02/2024;06/02/2024;2
AF070D;07/02/2024;07/02/2024;3
AF070L;16/01/2024;31/03/2025;123457
AF071D;06/02/2024;06/02/2024;2
AF071D;07/02/2024;07/02/2024;3
AF071L;16/01/2024;31/03/2025;123457
AF071M;16/01/2024;30/03/2025;1234567
AF072;08/02/2024;10/02/2024;456
AF072;11/02/2024;11/02/2024;7
AF072;12/02/2024;12/02/2024;1
AF072;14/02/2024;09/03/2024;1234567
AF072;10/03/2024;12/03/2024;127
AF072;14/03/2024;24/03/2024;1234567
AF072;25/03/2024;27/03/2024;123
AF072;28/03/2024;28/03/2024;4
AF072;29/03/2024;29/03/2024;5
AF072;30/03/2024;30/03/2024;6
AF072D;06/02/2024;06/02/2024;2
AF072D;07/02/2024;07/02/2024;3
AF072L;16/01/2024;31/03/2025;12347
AF073D;06/02/2024;06/02/2024;2
AF073D;07/02/2024;07/02/2024;3
AF073L;16/01/2024;31/03/2025;12347
AF074D;06/02/2024;06/02/2024;2
AF074L;16/01/2024;31/03/2025;12367
AF074L;19/01/2024;28/03/2025;5
AF075L;18/01/2024;27/03/2025;4
AF076;23/01/2024;09/03/2024;246
AF076;12/03/2024;28/03/2024;246
AF076;30/03/2024;30/03/2024;6
AF076D;06/02/2024;06/02/2024;2
AF076D;07/02/2024;07/02/2024;3
AF076M;16/01/2024;30/03/2025;1234567
AF077;24/01/2024;08/03/2024;357
AF077;10/03/2024;29/03/2024;357
AF077;31/03/2024;31/03/2024;7
AF077L;16/01/2024;31/03/2025;12347
AF078;16/02/2024;08/03/2024;57
AF078;10/03/2024;29/03/2024;57
AF078D;06/02/2024;06/02/2024;2
AF078D;07/02/2024;07/02/2024;3
AF078L;16/01/2024;31/03/2025;12347
AF079;17/02/2024;09/03/2024;16
AF079;11/03/2024;25/03/2024;16
AF079;30/03/2024;30/03/2024;6
AF079D;06/02/2024;06/02/2024;2
AF079D;07/02/2024;07/02/2024;3
AF079L;16/01/2024;30/03/2025;12347
AF080L;16/01/2024;31/03/2025;12347
AF081;08/05/2024;24/05/2024;357
AF081;26/05/2024;02/06/2024;357
AF081;05/06/2024;28/06/2024;357
AF081;30/06/2024;03/08/2024;1234567
AF081;04/08/2024;25/10/2024;13567
AF081;26/10/2024;26/10/2024;6
AF081L;16/01/2024;31/03/2025;12347
AF082;08/05/2024;24/05/2024;357
AF082;26/05/2024;02/06/2024;357
AF082;05/06/2024;30/06/2024;357
AF082;01/07/2024;04/08/2024;1234567
AF082;05/08/2024;26/10/2024;13567
AF082L;16/01/2024;31/03/2025;12345
AF083;07/02/2024;04/03/2024;1234567
AF083;06/03/2024;09/03/2024;3456
AF083;10/03/2024;29/03/2024;1234567
AF083;30/03/2024;30/03/2024;6
AF083;31/03/2024;25/05/2024;1234567
AF083;26/05/2024;25/10/2024;1234567
AF083;26/10/2024;26/10/2024;6
AF083;27/10/2024;02/11/2024;1234567
AF083L;16/01/2024;31/03/2025;12345
AF084;07/02/2024;04/03/2024;1234567
AF084;06/03/2024;09/03/2024;3456
AF084;10/03/2024;30/03/2024;1234567
AF084;31/03/2024;25/05/2024;1234567
AF084;26/05/2024;26/10/2024;1234567
AF084;27/10/2024;02/11/2024;1234567
AF084L;16/01/2024;31/03/2025;123457
AF085L;16/01/2024;31/03/2025;123457
AF087M;16/01/2024;30/03/2025;1234567
AF088L;16/01/2024;31/03/2025;12345
AF090;21/01/2024;09/03/2024;1234567
AF090;10/03/2024;30/03/2024;1234567
AF090;31/03/2024;25/05/2024;1234567
AF090;26/05/2024;26/10/2024;1234567
AF090;27/10/2024;02/11/2024;1234567
AF090D;07/02/2024;07/02/2024;3
AF090M;17/01/2024;30/03/2025;37
AF091D;06/02/2024;06/02/2024;2
AF091M;16/01/2024;30/03/2025;234567
AF092;08/02/2024;08/02/2024;4
AF092;29/02/2024;29/02/2024;4
AF092;09/02/2024;09/02/2024;5
AF092;10/02/2024;10/02/2024;6
AF092;11/02/2024;11/02/2024;7
AF092;12/02/2024;19/02/2024;17
AF092;13/02/2024;15/02/2024;24
AF092;14/02/2024;21/02/2024;3
AF092;16/02/2024;16/02/2024;5
AF092;17/02/2024;17/02/2024;6
AF092;20/02/2024;22/02/2024;24
AF092;23/02/2024;23/02/2024;5
AF092;24/02/2024;24/02/2024;6
AF092;25/02/2024;26/02/2024;17
AF092;27/02/2024;27/02/2024;2
AF092;01/03/2024;01/03/2024;5
AF092;02/03/2024;02/03/2024;6
AF092;03/03/2024;03/03/2024;7
AF092;05/03/2024;05/03/2024;2
