vol;début;fin;frequence
AF025;28/05/2024;30/05/2024;24
AF025;03/06/2024;02/09/2024;1234567
AF025;03/09/2024;24/10/2024;24
AF025;04/09/2024;25/10/2024;13567
AF025;26/10/2024;26/10/2024;6
AF025L;30/01/2024;30/03/2025;12347
AF026;06/03/2024;08/03/2024;35
AF026;09/03/2024;09/03/2024;6
AF026;15/03/2024;22/03/2024;5
AF026;16/03/2024;16/03/2024;6
AF026;20/03/2024;20/03/2024;3
AF026;25/03/2024;25/03/2024;1
AF026;27/03/2024;27/03/2024;3
AF026;29/03/2024;29/03/2024;5
AF026;01/04/2024;01/06/2024;16
AF026;04/04/2024;30/05/2024;4
AF026;03/06/2024;24/10/2024;146
AF026;26/10/2024;26/10/2024;6
AF026D;30/01/2024;31/12/2025;247
AF026L;30/01/2024;30/03/2025;12347
AF026M;30/01/2024;30/03/2025;247
AF027;06/03/2024;08/03/2024;35
AF027;09/03/2024;09/03/2024;6
AF027;14/03/2024;14/03/2024;4
AF027;21/03/2024;28/03/2024;46
AF027;15/03/2024;22/03/2024;5
AF027;16/03/2024;16/03/2024;6
AF027;20/03/2024;20/03/2024;3
AF027;25/03/2024;25/03/2024;1
AF027;27/03/2024;27/03/2024;3
AF027;29/03/2024;29/03/2024;5
AF027;02/04/2024;02/06/2024;27
AF027;05/04/2024;31/05/2024;5
AF027;04/06/2024;25/10/2024;257
AF027L;30/01/2024;31/03/2025;1234
AF027L;02/02/2024;28/03/2025;5
AF028;31/03/2024;31/03/2024;7
AF028;02/04/2024;02/06/2024;27
AF028;04/06/2024;22/10/2024;27
AF028D;30/01/2024;31/12/2025;12347
AF028M;30/01/2024;30/03/2025;12347
AF029;01/04/2024;03/06/2024;13
AF029;05/06/2024;23/10/2024;13
AF029L;30/01/2024;28/03/2025;12345
AF030;31/03/2024;06/04/2024;2467
AF030;01/04/2024;24/05/2024;135
AF030;07/04/2024;21/04/2024;7
AF030;09/04/2024;27/04/2024;246
AF030;28/04/2024;04/05/2024;267
AF030;02/05/2024;05/05/2024;47
AF030;07/05/2024;25/05/2024;2467
AF030;26/05/2024;26/10/2024;2467
AF030;27/05/2024;07/06/2024;135
AF030;12/06/2024;25/10/2024;135
AF030;10/06/2024;10/06/2024;1
AF030L;30/01/2024;28/03/2025;125
AF031;31/03/2024;06/04/2024;2467
AF031;01/04/2024;01/04/2024;1
AF031;03/04/2024;05/04/2024;35
AF031;07/04/2024;26/04/2024;1357
AF031;09/04/2024;27/04/2024;246
AF031;28/04/2024;04/05/2024;123567
AF031;02/05/2024;05/05/2024;47
AF031;06/05/2024;24/05/2024;1234567
AF031;25/05/2024;25/05/2024;6
AF031;26/05/2024;22/06/2024;567
AF031;27/05/2024;06/06/2024;1234
AF031;11/06/2024;20/06/2024;1234
AF031;10/06/2024;10/06/2024;1
AF031;23/06/2024;30/06/2024;234567
AF031;24/06/2024;24/06/2024;1
AF031;01/07/2024;25/10/2024;1234567
AF031;26/10/2024;26/10/2024;6
AF032;31/03/2024;31/03/2024;7
AF032;01/04/2024;04/04/2024;1234
AF032;05/04/2024;08/04/2024;15
AF032;07/04/2024;21/04/2024;7
AF032;09/04/2024;09/04/2024;2
AF032;10/04/2024;24/05/2024;135
AF032;11/04/2024;11/04/2024;4
AF032;13/04/2024;18/04/2024;246
AF032;20/04/2024;20/04/2024;6
AF032;23/04/2024;30/04/2024;246
AF032;28/04/2024;28/04/2024;7
AF032;02/05/2024;05/05/2024;47
AF032;04/05/2024;04/05/2024;6
AF032;07/05/2024;25/05/2024;2467
AF032;26/05/2024;26/10/2024;1234567
AF032L;30/01/2024;27/03/2025;1234
AF032L;02/02/2024;28/03/2025;5
AF033;31/03/2024;02/04/2024;27
AF033;01/04/2024;03/04/2024;13
AF033;04/04/2024;06/04/2024;46
AF033;05/04/2024;08/04/2024;15
AF033;07/04/2024;14/04/2024;7
AF033;09/04/2024;09/04/2024;2
AF033;10/04/2024;19/04/2024;135
AF033;11/04/2024;11/04/2024;4
AF033;13/04/2024;18/04/2024;246
AF033;20/04/2024;20/04/2024;6
AF033;21/04/2024;21/04/2024;7
AF033;22/04/2024;03/05/2024;135
AF033;23/04/2024;27/04/2024;246
AF033;28/04/2024;28/04/2024;7
AF033;30/04/2024;30/04/2024;2
AF033;02/05/2024;05/05/2024;47
AF033;04/05/2024;04/05/2024;6
AF033;06/05/2024;24/05/2024;135
AF033;07/05/2024;25/05/2024;2467
AF033;26/05/2024;01/06/2024;2467
AF033;27/05/2024;31/05/2024;135
AF033;02/06/2024;23/06/2024;7
AF033;03/06/2024;28/06/2024;135
AF033;04/06/2024;28/09/2024;246
AF033;30/06/2024;29/09/2024;7
AF033;01/07/2024;21/10/2024;1
AF033;03/07/2024;27/09/2024;35
AF033;01/10/2024;24/10/2024;2467
AF033;02/10/2024;25/10/2024;35
AF033;26/10/2024;26/10/2024;6
AF033L;30/01/2024;31/03/2025;12345
AF034;05/04/2024;05/04/2024;5
AF034;07/04/2024;21/04/2024;7
AF034;10/04/2024;24/04/2024;35
AF034;26/04/2024;26/04/2024;5
AF034;28/04/2024;04/05/2024;267
AF034;29/04/2024;03/05/2024;135
AF034;06/05/2024;30/08/2024;135
AF034;07/05/2024;25/05/2024;26
AF034;28/05/2024;26/10/2024;2467
AF034L;30/01/2024;31/03/2025;12345
AF035;05/04/2024;05/04/2024;5
AF035;07/04/2024;21/04/2024;7
AF035;10/04/2024;24/04/2024;35
AF035;26/04/2024;26/04/2024;5
AF035;28/04/2024;04/05/2024;267
AF035;29/04/2024;03/05/2024;135
AF035;06/05/2024;30/08/2024;135
AF035;07/05/2024;25/05/2024;26
AF035;28/05/2024;24/10/2024;2467
AF035L;30/01/2024;31/03/2025;123457
AF036L;30/01/2024;31/03/2025;123
AF036L;01/02/2024;27/03/2025;4
AF036L;02/02/2024;28/03/2025;5
AF040;27/05/2024;27/05/2024;1
AF040L;30/01/2024;28/03/2025;12345
AF041;13/05/2024;13/05/2024;1
AF041L;01/02/2024;27/03/2025;4
AF041L;30/01/2024;28/03/2025;1235
AF042;20/06/2024;21/06/2024;45
AF042L;01/02/2024;27/03/2025;4
AF043;15/06/2024;16/06/2024;67
AF043L;30/01/2024;28/03/2025;12345
AF045L;30/01/2024;31/03/2025;1234
AF045L;02/02/2024;28/03/2025;5
AF046L;30/01/2024;31/03/2025;123457
AF046M;30/01/2024;27/03/2025;24
AF047L;30/01/2024;31/03/2025;123456
AF049;31/03/2024;31/03/2024;7
AF049L;30/01/2024;27/03/2025;12345
AF049M;30/01/2024;28/03/2025;12345
AF050;31/03/2024;10/05/2024;357
AF050;01/04/2024;11/05/2024;1246
AF050;12/05/2024;26/10/2024;1234567
AF050L;30/01/2024;27/03/2025;1234
AF050L;02/02/2024;28/03/2025;5
AF051;31/03/2024;10/05/2024;357
AF051;01/04/2024;11/05/2024;1246
AF051;12/05/2024;25/05/2024;1234567
AF051;26/05/2024;25/10/2024;1234567
AF051;26/10/2024;26/10/2024;6
AF051L;30/01/2024;26/03/2025;1234
AF051L;02/02/2024;28/03/2025;5
AF051M;30/01/2024;30/03/2025;1234567
AF052;31/03/2024;31/03/2024;7
AF052;03/04/2024;05/04/2024;35
AF052;07/04/2024;07/04/2024;7
AF052;10/04/2024;05/05/2024;357
AF052;08/05/2024;10/05/2024;35
AF052;12/05/2024;12/05/2024;7
AF052;13/05/2024;15/05/2024;123
AF052;17/05/2024;25/05/2024;1234567
AF052;26/05/2024;29/05/2024;1237
AF052;31/05/2024;26/10/2024;1234567
AF052L;30/01/2024;25/03/2025;12
AF052L;01/02/2024;28/03/2025;45
AF052M;30/01/2024;28/03/2025;12345
AF053;31/03/2024;31/03/2024;7
AF053;03/04/2024;05/04/2024;35
AF053;07/04/2024;07/04/2024;7
AF053;10/04/2024;05/05/2024;357
AF053;08/05/2024;10/05/2024;35
AF053;12/05/2024;12/05/2024;7
AF053;13/05/2024;15/05/2024;123
AF053;17/05/2024;25/05/2024;1234567
AF053;26/05/2024;29/05/2024;1237
AF053;31/05/2024;25/10/2024;1234567
AF053;26/10/2024;26/10/2024;6
AF053L;02/02/2024;28/03/2025;5
AF054;15/02/2024;09/03/2024;1234567
AF054;10/03/2024;30/03/2024;1234567
AF054L;30/01/2024;30/03/2025;12347
AF055;18/02/2024;09/03/2024;1234567
AF055;10/03/2024;29/03/2024;1234567
AF055;30/03/2024;30/03/2024;6
AF055D;20/02/2024;20/02/2024;2
AF055L;30/01/2024;31/03/2025;12345
AF055M;30/01/2024;28/03/2025;235
AF056D;21/02/2024;21/02/2024;3
AF056L;30/01/2024;30/03/2025;12347
AF056M;30/01/2024;28/03/2025;12345
AF057L;02/02/2024;28/03/2025;5
AF057M;31/01/2024;26/03/2025;3
AF058L;30/01/2024;28/03/2025;12345
AF059L;30/01/2024;31/03/2025;12345
AF060M;30/01/2024;28/03/2025;2345
AF060M;05/02/2024;24/03/2025;1
AF062;14/02/2024;09/03/2024;1234567
AF062;10/03/2024;30/03/2024;1234567
AF062;31/03/2024;25/05/2024;1234567
AF062;26/05/2024;26/10/2024;1234567
AF063;14/02/2024;09/03/2024;1234567
AF063;10/03/2024;29/03/2024;1234567
AF063;30/03/2024;30/03/2024;6
AF063;31/03/2024;25/05/2024;1234567
AF063;26/05/2024;25/10/2024;1234567
AF063;26/10/2024;26/10/2024;6
AF065;11/02/2024;09/03/2024;1234567
AF065;10/03/2024;29/03/2024;1234567
AF065;30/03/2024;30/03/2024;6
AF066;30/01/2024;09/03/2024;1234567
AF066;10/03/2024;30/03/2024;1234567
AF066M;30/01/2024;28/03/2025;12345
AF068;23/05/2024;26/10/2024;246
AF068M;30/01/2024;28/03/2025;12345
AF069;14/02/2024;09/03/2024;1234567
AF069;10/03/2024;12/03/2024;127
AF069;14/03/2024;24/03/2024;1234567
AF069;25/03/2024;27/03/2024;123
AF069;28/03/2024;28/03/2024;4
AF069;29/03/2024;29/03/2024;5
AF069;30/03/2024;30/03/2024;6
AF069;23/05/2024;24/10/2024;246
AF069;26/10/2024;26/10/2024;6
AF069D;20/02/2024;20/02/2024;2
AF069M;30/01/2024;27/03/2025;24
AF070D;20/02/2024;20/02/2024;2
AF070D;21/02/2024;21/02/2024;3
AF070L;30/01/2024;31/03/2025;123457
AF071D;20/02/2024;20/02/2024;2
AF071D;21/02/2024;21/02/2024;3
AF071L;30/01/2024;31/03/2025;123457
AF071M;30/01/2024;01/03/2024;1234567
AF071M;03/03/2024;30/03/2025;1234567
AF072;14/02/2024;09/03/2024;1234567
AF072;10/03/2024;12/03/2024;127
AF072;14/03/2024;24/03/2024;1234567
AF072;25/03/2024;27/03/2024;123
AF072;28/03/2024;28/03/2024;4
AF072;29/03/2024;29/03/2024;5
AF072;30/03/2024;30/03/2024;6
AF072D;20/02/2024;20/02/2024;2
AF072D;21/02/2024;21/02/2024;3
AF072L;30/01/2024;31/03/2025;12347
AF073D;20/02/2024;20/02/2024;2
AF073D;21/02/2024;21/02/2024;3
AF073L;30/01/2024;31/03/2025;12347
AF074D;20/02/2024;20/02/2024;2
AF074L;30/01/2024;31/03/2025;12367
AF074L;02/02/2024;28/03/2025;5
AF075L;01/02/2024;27/03/2025;4
AF076;30/01/2024;09/03/2024;246
AF076;12/03/2024;28/03/2024;246
AF076;30/03/2024;30/03/2024;6
AF076D;20/02/2024;20/02/2024;2
AF076D;21/02/2024;21/02/2024;3
AF076M;30/01/2024;02/03/2024;1234567
AF076M;04/03/2024;30/03/2025;1234567
AF077;31/01/2024;08/03/2024;357
AF077;10/03/2024;29/03/2024;357
AF077;31/03/2024;31/03/2024;7
AF077L;30/01/2024;31/03/2025;12347
AF078;23/02/2024;08/03/2024;57
AF078;10/03/2024;29/03/2024;57
AF078D;20/02/2024;20/02/2024;2
AF078D;21/02/2024;21/02/2024;3
AF078L;30/01/2024;31/03/2025;12347
AF079;24/02/2024;09/03/2024;16
AF079;11/03/2024;25/03/2024;16
AF079;30/03/2024;30/03/2024;6
AF079D;20/02/2024;20/02/2024;2
AF079D;21/02/2024;21/02/2024;3
AF079L;30/01/2024;30/03/2025;12347
AF080L;30/01/2024;31/03/2025;12347
AF081;08/05/2024;24/05/2024;357
AF081;26/05/2024;02/06/2024;357
AF081;05/06/2024;28/06/2024;357
AF081;30/06/2024;03/08/2024;1234567
AF081;04/08/2024;25/10/2024;13567
AF081;26/10/2024;26/10/2024;6
AF081L;30/01/2024;31/03/2025;12347
AF082;08/05/2024;24/05/2024;357
AF082;26/05/2024;02/06/2024;357
AF082;05/06/2024;30/06/2024;357
AF082;01/07/2024;04/08/2024;1234567
AF082;05/08/2024;26/10/2024;13567
AF082L;30/01/2024;31/03/2025;12345
AF083;15/02/2024;04/03/2024;1234567
AF083;06/03/2024;09/03/2024;3456
AF083;10/03/2024;29/03/2024;1234567
AF083;30/03/2024;30/03/2024;6
AF083;31/03/2024;25/05/2024;1234567
AF083;26/05/2024;25/10/2024;1234567
AF083;26/10/2024;26/10/2024;6
AF083L;30/01/2024;31/03/2025;12345
AF084;15/02/2024;04/03/2024;1234567
AF084;06/03/2024;09/03/2024;3456
AF084;10/03/2024;29/03/2024;1234567
AF084;30/03/2024;30/03/2024;6
AF084;31/03/2024;25/05/2024;1234567
AF084;26/05/2024;26/10/2024;1234567
AF084L;30/01/2024;31/03/2025;123457
AF085L;30/01/2024;31/03/2025;123457
AF087M;19/02/2024;29/02/2024;1234567
AF087M;03/03/2024;30/03/2025;1234567
AF088L;30/01/2024;31/03/2025;12345
AF090;30/01/2024;09/03/2024;1234567
AF090;10/03/2024;29/03/2024;1234567
AF090;30/03/2024;30/03/2024;6
AF090;31/03/2024;25/05/2024;1234567
AF090;26/05/2024;26/10/2024;1234567
AF090D;21/02/2024;21/02/2024;3
AF090M;31/01/2024;28/02/2024;37
AF090M;06/03/2024;30/03/2025;37
AF091D;20/02/2024;20/02/2024;2
AF091M;30/01/2024;02/03/2024;234567
AF091M;05/03/2024;30/03/2025;234567
AF092;14/02/2024;21/02/2024;3
AF092;20/02/2024;22/02/2024;24
AF092;23/02/2024;23/02/2024;5
AF092;24/02/2024;24/02/2024;6
AF092;25/02/2024;26/02/2024;17
AF092;27/02/2024;27/02/2024;2
AF092;29/02/2024;29/02/2024;4
AF092;01/03/2024;01/03/2024;5
AF092;02/03/2024;02/03/2024;6
AF092;03/03/2024;03/03/2024;7
AF092;05/03/2024;05/03/2024;2
AF092;06/03/2024;08/03/2024;35
AF092;07/03/2024;07/03/2024;4
AF092;09/03/2024;09/03/2024;6
AF092;10/03/2024;17/03/2024;17
AF092;24/03/2024;25/03/2024;17
AF092;13/03/2024;20/03/2024;35
AF092;27/03/2024;29/03/2024;35
AF092;16/03/2024;30/03/2024;6
AF092;19/03/2024;19/03/2024;2
AF092;28/03/2024;28/03/2024;4
AF092;21/03/2024;21/03/2024;4
AF092;22/03/2024;22/03/2024;5
AF092;31/03/2024;31/03/2024;7
AF092;01/04/2024;29/04/2024;1
AF092;06/05/2024;12/05/2024;13567
AF092;15/05/2024;25/05/2024;3567
AF092;02/04/2024;02/04/2024;2
AF092;03/04/2024;07/04/2024;3567
AF092;09/04/2024;30/04/2024;2
AF092;10/04/2024;05/05/2024;3567
AF092;07/05/2024;28/05/2024;2
AF092;26/05/2024;02/06/2024;3567
AF092;04/06/2024;18/06/2024;2
AF092;05/06/2024;23/06/2024;3567
AF092;24/06/2024;18/08/2024;13567
AF092;25/06/2024;20/08/2024;24
AF092;21/08/2024;25/08/2024;3567
AF092;27/08/2024;27/08/2024;2
AF092;30/08/2024;01/09/2024;57
AF092;08/10/2024;25/10/2024;257
AF093D;20/02/2024;20/02/2024;2
AF093D;21/02/2024;21/02/2024;3
AF095;14/02/2024;21/02/2024;3
AF095;20/02/2024;20/02/2024;2
AF095;22/02/2024;22/02/2024;4
AF095;23/02/2024;23/02/2024;5
AF095;24/02/2024;24/02/2024;6
AF095;25/02/2024;25/02/2024;7
AF095;26/02/2024;26/02/2024;1
AF095;27/02/2024;27/02/2024;2
AF095;29/02/2024;29/02/2024;4
