vol;début;fin;frequence
AF 1149 ;04/03/2024;04/03/2024;1
AF 1149 ;06/03/2024;06/03/2024;3
AF 1149 ;07/03/2024;29/03/2024;123457
AF 1149 ;31/03/2024;06/04/2024;67
AF 1149 ;01/04/2024;05/04/2024;15
AF 1149 ;02/04/2024;02/04/2024;2
AF 1149 ;03/04/2024;03/04/2024;3
AF 1149 ;04/04/2024;04/04/2024;4
AF 1149 ;07/04/2024;07/04/2024;7
AF 1149 ;08/04/2024;08/04/2024;1
AF 1149 ;09/04/2024;09/04/2024;2
AF 1149 ;10/04/2024;17/04/2024;3
AF 1149 ;11/04/2024;11/04/2024;4
AF 1149 ;12/04/2024;12/04/2024;5
AF 1149 ;13/04/2024;16/04/2024;267
AF 1149 ;15/04/2024;26/04/2024;145
AF 1149 ;20/04/2024;21/04/2024;67
AF 1149 ;23/04/2024;23/04/2024;2
AF 1149 ;24/04/2024;24/04/2024;3
AF 1149 ;27/04/2024;27/04/2024;6
AF 1149 ;28/04/2024;28/04/2024;7
AF 1149 ;29/04/2024;06/05/2024;1
AF 1149 ;30/04/2024;07/05/2024;2
AF 1149 ;01/05/2024;01/05/2024;3
AF 1149 ;02/05/2024;02/05/2024;4
AF 1149 ;03/05/2024;03/05/2024;5
AF 1149 ;04/05/2024;04/05/2024;6
AF 1149 ;05/05/2024;05/05/2024;7
AF 1149 ;08/05/2024;08/05/2024;3
AF 1149 ;09/05/2024;09/05/2024;4
AF 1149 ;10/05/2024;10/05/2024;5
AF 1149 ;11/05/2024;12/05/2024;67
AF 1149 ;13/05/2024;13/05/2024;1
AF 1149 ;14/05/2024;22/05/2024;2367
AF 1149 ;16/05/2024;16/05/2024;4
AF 1149 ;17/05/2024;17/05/2024;5
AF 1149 ;20/05/2024;23/05/2024;14
AF 1149 ;24/05/2024;24/05/2024;5
AF 1149 ;25/05/2024;25/05/2024;6
AF 1149 ;26/05/2024;26/05/2024;7
AF 1149 ;27/05/2024;03/06/2024;145
AF 1149 ;28/05/2024;08/06/2024;2367
AF 1149 ;06/06/2024;06/06/2024;4
AF 1149 ;07/06/2024;20/06/2024;145
AF 1149 ;09/06/2024;09/06/2024;7
AF 1149 ;11/06/2024;19/06/2024;236
AF 1149 ;16/06/2024;16/06/2024;7
AF 1149 ;21/06/2024;21/06/2024;5
AF 1149 ;22/06/2024;22/06/2024;6
AF 1149 ;23/06/2024;30/06/2024;27
AF 1149 ;24/06/2024;24/06/2024;1
AF 1149 ;26/06/2024;29/06/2024;36
AF 1149 ;27/06/2024;01/07/2024;145
AF 1149 ;02/07/2024;03/07/2024;23
AF 1149 ;04/07/2024;26/07/2024;1234567
AF 1149 ;27/07/2024;27/07/2024;6
AF 1149 ;28/07/2024;02/09/2024;1234567
AF 1149 ;03/09/2024;06/10/2024;2367
AF 1149 ;05/09/2024;04/10/2024;145
AF 1149 ;07/10/2024;14/10/2024;1
AF 1149 ;08/10/2024;26/10/2024;267
AF 1149 ;09/10/2024;23/10/2024;3
AF 1149 ;10/10/2024;24/10/2024;4
AF 1149 ;11/10/2024;18/10/2024;5
AF 1149 ;21/10/2024;25/10/2024;15
AF 1542 ;15/02/2024;18/02/2024;467
AF 1542 ;16/02/2024;16/02/2024;5
AF 1542 ;19/02/2024;19/02/2024;1
AF 1542 ;20/02/2024;27/02/2024;26
AF 1542 ;21/02/2024;26/02/2024;13
AF 1542 ;22/02/2024;22/02/2024;4
AF 1542 ;23/02/2024;23/02/2024;5
AF 1542 ;25/02/2024;25/02/2024;7
AF 1542 ;01/03/2024;01/03/2024;5
AF 1542 ;02/03/2024;02/03/2024;6
AF 1542 ;03/03/2024;09/03/2024;67
AF 1542 ;04/03/2024;08/03/2024;12345
AF 1542 ;10/03/2024;10/03/2024;7
AF 1542 ;11/03/2024;16/03/2024;1256
AF 1542 ;14/03/2024;14/03/2024;4
AF 1542 ;17/03/2024;17/03/2024;7
AF 1542 ;18/03/2024;23/03/2024;12356
AF 1542 ;21/03/2024;21/03/2024;4
AF 1542 ;24/03/2024;24/03/2024;7
AF 1542 ;25/03/2024;25/03/2024;1
AF 1542 ;26/03/2024;30/03/2024;256
AF 1542 ;27/03/2024;27/03/2024;3
AF 1542 ;28/03/2024;28/03/2024;4
AF 1542 ;31/03/2024;06/04/2024;67
AF 1542 ;01/04/2024;01/04/2024;1
AF 1542 ;02/04/2024;03/04/2024;23
AF 1542 ;04/04/2024;04/04/2024;4
AF 1542 ;07/04/2024;07/04/2024;7
AF 1542 ;08/04/2024;08/04/2024;1
AF 1542 ;09/04/2024;11/04/2024;234
AF 1542 ;12/04/2024;12/04/2024;5
AF 1542 ;13/04/2024;13/04/2024;6
AF 1542 ;14/04/2024;14/04/2024;7
AF 1542 ;15/04/2024;15/04/2024;1
AF 1542 ;16/04/2024;16/04/2024;2
AF 1542 ;17/04/2024;17/04/2024;3
AF 1542 ;18/04/2024;18/04/2024;4
AF 1542 ;19/04/2024;19/04/2024;5
AF 1542 ;20/04/2024;20/04/2024;6
AF 1542 ;21/04/2024;21/04/2024;7
AF 1542 ;22/04/2024;22/04/2024;1
AF 1542 ;23/04/2024;23/04/2024;2
AF 1542 ;24/04/2024;24/04/2024;3
AF 1542 ;25/04/2024;25/04/2024;4
AF 1542 ;26/04/2024;26/04/2024;5
AF 1542 ;27/04/2024;27/04/2024;6
AF 1542 ;28/04/2024;28/04/2024;7
AF 1542 ;29/04/2024;29/04/2024;1
AF 1542 ;30/04/2024;07/05/2024;24
AF 1542 ;03/05/2024;03/05/2024;5
AF 1542 ;04/05/2024;04/05/2024;6
AF 1542 ;05/05/2024;05/05/2024;7
AF 1542 ;06/05/2024;06/05/2024;1
AF 1542 ;08/05/2024;08/05/2024;3
AF 1542 ;09/05/2024;09/05/2024;4
AF 1542 ;10/05/2024;10/05/2024;5
AF 1542 ;11/05/2024;11/05/2024;6
AF 1542 ;12/05/2024;12/05/2024;7
AF 1542 ;13/05/2024;13/05/2024;1
AF 1542 ;14/05/2024;14/05/2024;2
AF 1542 ;15/05/2024;15/05/2024;3
AF 1542 ;16/05/2024;22/05/2024;234
AF 1542 ;17/05/2024;24/05/2024;5
AF 1542 ;18/05/2024;25/05/2024;6
AF 1542 ;19/05/2024;19/05/2024;7
AF 1542 ;20/05/2024;20/05/2024;1
AF 1542 ;23/05/2024;23/05/2024;4
AF 1542 ;26/05/2024;01/06/2024;67
AF 1542 ;27/05/2024;27/05/2024;1
AF 1542 ;28/05/2024;28/05/2024;2
AF 1542 ;29/05/2024;29/05/2024;3
AF 1542 ;30/05/2024;30/05/2024;4
AF 1542 ;31/05/2024;31/05/2024;5
AF 1542 ;02/06/2024;02/06/2024;7
AF 1542 ;03/06/2024;01/07/2024;1
AF 1542 ;04/06/2024;04/07/2024;234
AF 1542 ;07/06/2024;05/07/2024;5
AF 1542 ;08/06/2024;30/06/2024;67
AF 1542 ;08/07/2024;29/08/2024;134
AF 1542 ;09/07/2024;27/08/2024;2
AF 1542 ;02/09/2024;21/10/2024;1
AF 1542 ;03/09/2024;24/10/2024;234
AF 1542 ;06/09/2024;25/10/2024;5
AF 1542 ;07/09/2024;26/10/2024;67
AF 4193 ;17/02/2024;17/02/2024;6
AF 6107 ;14/02/2024;14/02/2024;3
AF 6107 ;16/02/2024;16/02/2024;5
AF 6107 ;17/02/2024;17/02/2024;6
AF 6107 ;19/02/2024;19/02/2024;1
AF 6107 ;20/02/2024;20/02/2024;2
AF 6107 ;21/02/2024;21/02/2024;3
AF 6107 ;23/02/2024;26/02/2024;15
AF 6107 ;24/02/2024;24/02/2024;6
AF 6107 ;27/02/2024;27/02/2024;2
AF 6107 ;28/02/2024;28/02/2024;3
AF 6107 ;02/03/2024;02/03/2024;6
AF 6107 ;04/03/2024;04/03/2024;1
AF 6107 ;05/03/2024;05/03/2024;2
AF 6107 ;06/03/2024;06/03/2024;3
AF 6107 ;07/03/2024;07/03/2024;4
AF 6107 ;08/03/2024;15/03/2024;15
AF 6107 ;09/03/2024;09/03/2024;6
AF 6107 ;12/03/2024;12/03/2024;2
AF 6107 ;13/03/2024;13/03/2024;3
AF 6107 ;14/03/2024;14/03/2024;4
AF 6107 ;16/03/2024;16/03/2024;6
AF 6107 ;18/03/2024;18/03/2024;1
AF 6107 ;19/03/2024;19/03/2024;2
AF 6107 ;20/03/2024;20/03/2024;3
AF 6107 ;21/03/2024;21/03/2024;4
AF 6107 ;22/03/2024;22/03/2024;5
AF 6107 ;23/03/2024;23/03/2024;6
AF 6107 ;25/03/2024;25/03/2024;1
AF 6107 ;26/03/2024;26/03/2024;2
AF 6107 ;27/03/2024;27/03/2024;3
AF 6107 ;28/03/2024;28/03/2024;4
AF 6107 ;29/03/2024;29/03/2024;5
AF 6107 ;30/03/2024;30/03/2024;6
AF 6107 ;01/04/2024;29/04/2024;1
AF 6107 ;02/04/2024;02/04/2024;2
AF 6107 ;03/04/2024;03/04/2024;3
AF 6107 ;04/04/2024;04/04/2024;4
AF 6107 ;05/04/2024;16/04/2024;235
AF 6107 ;06/04/2024;04/05/2024;6
AF 6107 ;11/04/2024;11/04/2024;4
AF 6107 ;17/04/2024;17/04/2024;3
AF 6107 ;18/04/2024;18/04/2024;4
AF 6107 ;19/04/2024;19/04/2024;5
AF 6107 ;23/04/2024;23/04/2024;2
AF 6107 ;24/04/2024;24/04/2024;3
AF 6107 ;25/04/2024;25/04/2024;4
AF 6107 ;26/04/2024;30/04/2024;25
AF 6107 ;02/05/2024;02/05/2024;4
AF 6107 ;06/05/2024;06/05/2024;1
AF 6107 ;08/05/2024;08/05/2024;3
AF 6107 ;10/05/2024;12/07/2024;235
AF 6107 ;13/05/2024;08/07/2024;1
AF 6107 ;16/05/2024;11/07/2024;4
AF 6107 ;18/05/2024;13/07/2024;6
AF 6107 ;05/08/2024;21/10/2024;1
AF 6107 ;06/08/2024;25/10/2024;235
AF 6107 ;08/08/2024;24/10/2024;4
AF 6107 ;10/08/2024;26/10/2024;6
AF 093D ;01/02/2024;01/02/2024;4
AF 093D ;03/02/2024;03/02/2024;6
AF 093D ;07/02/2024;07/02/2024;3
AF 093D ;08/02/2024;08/02/2024;4
AF 093D ;09/02/2024;09/02/2024;5
AF 093D ;10/02/2024;10/02/2024;6
AF 093D ;11/02/2024;11/02/2024;7
AF 093D ;13/02/2024;13/02/2024;2
AF 093D ;14/02/2024;14/02/2024;3
AF 093D ;15/02/2024;15/02/2024;4
AF 093D ;16/02/2024;16/02/2024;5
AF 093D ;17/02/2024;17/02/2024;6
AF 093D ;18/02/2024;18/02/2024;7
AF 093D ;20/02/2024;20/02/2024;2
DL 151  ;01/02/2024;19/02/2024;1234567
DL 151  ;20/02/2024;25/02/2024;234567
DL 151  ;26/02/2024;26/02/2024;1
DL 151  ;27/02/2024;27/02/2024;2
DL 151  ;28/02/2024;29/02/2024;34
DL 151  ;01/03/2024;09/03/2024;1234567
DL 151  ;10/03/2024;10/03/2024;7
DL 151  ;11/03/2024;29/03/2024;1234567
DL 151  ;30/03/2024;30/03/2024;6
DL 151  ;31/03/2024;30/04/2024;1234567
DL 151  ;01/05/2024;31/05/2024;1234567
DL 151  ;01/06/2024;31/08/2024;1234567
DL 151  ;01/09/2024;26/10/2024;1234567
AI 469  ;31/10/2023;30/03/2024;1234567
AF 1029 ;25/01/2024;30/03/2024;1234567
AF 1029 ;31/03/2024;26/10/2024;1234567
AF 1422 ;28/01/2024;25/02/2024;7
AF 1422 ;29/01/2024;14/02/2024;1234
AF 1422 ;15/02/2024;15/02/2024;4
AF 1422 ;16/02/2024;16/02/2024;5
AF 1422 ;17/02/2024;17/02/2024;6
AF 1422 ;19/02/2024;19/02/2024;1
AF 1422 ;20/02/2024;20/02/2024;2
AF 1422 ;22/02/2024;22/02/2024;4
AF 1422 ;23/02/2024;23/02/2024;5
AF 1422 ;24/02/2024;02/03/2024;6
AF 1422 ;26/02/2024;04/03/2024;1
AF 1422 ;27/02/2024;28/02/2024;23
AF 1422 ;01/03/2024;22/03/2024;5
AF 1422 ;03/03/2024;03/03/2024;7
AF 1422 ;06/03/2024;06/03/2024;3
AF 1422 ;07/03/2024;07/03/2024;4
AF 1422 ;09/03/2024;09/03/2024;6
AF 1422 ;10/03/2024;10/03/2024;7
AF 1422 ;11/03/2024;11/03/2024;1
AF 1422 ;12/03/2024;12/03/2024;2
AF 1422 ;13/03/2024;13/03/2024;3
AF 1422 ;14/03/2024;14/03/2024;4
AF 1422 ;16/03/2024;16/03/2024;6
AF 1422 ;17/03/2024;17/03/2024;7
AF 1422 ;18/03/2024;18/03/2024;1
AF 1422 ;19/03/2024;21/03/2024;24
AF 1422 ;20/03/2024;20/03/2024;3
AF 1422 ;23/03/2024;23/03/2024;6
AF 1422 ;24/03/2024;24/03/2024;7
AF 1422 ;25/03/2024;25/03/2024;1
AF 1422 ;26/03/2024;26/03/2024;2
AF 1422 ;27/03/2024;27/03/2024;3
AF 1422 ;28/03/2024;28/03/2024;4
AF 1422 ;29/03/2024;29/03/2024;5
AF 1422 ;30/03/2024;30/03/2024;6
AF 1422 ;01/04/2024;05/04/2024;12345
AF 1422 ;06/04/2024;06/04/2024;6
AF 1422 ;07/04/2024;07/04/2024;7
AF 1422 ;08/04/2024;08/04/2024;1
AF 1422 ;09/04/2024;09/04/2024;2
AF 1422 ;10/04/2024;10/04/2024;3
AF 1422 ;11/04/2024;11/04/2024;4
AF 1422 ;12/04/2024;12/04/2024;5
AF 1422 ;13/04/2024;27/04/2024;6
AF 1422 ;14/04/2024;28/04/2024;7
AF 1422 ;15/04/2024;15/04/2024;1
AF 1422 ;16/04/2024;16/04/2024;2
AF 1422 ;17/04/2024;17/04/2024;3
AF 1422 ;18/04/2024;18/04/2024;4
AF 1422 ;22/04/2024;22/04/2024;1
AF 1422 ;23/04/2024;26/04/2024;235
AF 1422 ;25/04/2024;25/04/2024;4
AF 1422 ;29/04/2024;29/04/2024;1
AF 1422 ;01/05/2024;01/05/2024;3
AF 1422 ;02/05/2024;02/05/2024;4
AF 1422 ;03/05/2024;08/05/2024;135
AF 1422 ;04/05/2024;11/05/2024;6
AF 1422 ;05/05/2024;12/05/2024;7
AF 1422 ;07/05/2024;07/05/2024;2
AF 1422 ;07/05/2024;07/05/2024;2
AF 1422 ;10/05/2024;10/05/2024;5
AF 1422 ;13/05/2024;15/05/2024;123
AF 1422 ;16/05/2024;16/05/2024;4
AF 1422 ;17/05/2024;17/05/2024;5
AF 1422 ;18/05/2024;29/06/2024;6
AF 1422 ;19/05/2024;19/05/2024;7
AF 1422 ;20/05/2024;27/05/2024;1234
AF 1422 ;28/05/2024;30/05/2024;24
AF 1422 ;29/05/2024;29/05/2024;3
AF 1422 ;31/05/2024;31/05/2024;5
AF 1422 ;02/06/2024;02/06/2024;7
AF 1422 ;03/06/2024;10/06/2024;12345
AF 1422 ;09/06/2024;16/06/2024;7
AF 1422 ;11/06/2024;11/06/2024;2
AF 1422 ;12/06/2024;02/07/2024;234
AF 1422 ;14/06/2024;05/07/2024;15
AF 1422 ;23/06/2024;30/06/2024;7
AF 1422 ;03/07/2024;04/07/2024;34
AF 1422 ;06/07/2024;31/08/2024;6
AF 1422 ;07/07/2024;01/09/2024;7
AF 1422 ;08/07/2024;26/08/2024;1
AF 1422 ;09/07/2024;23/08/2024;2345
AF 1422 ;27/08/2024;25/10/2024;12345
AF 1422 ;07/09/2024;26/10/2024;6
AF 1422 ;08/09/2024;20/10/2024;7
KL 1724 ;10/01/2024;14/02/2024;3
KL 1724 ;29/01/2024;12/02/2024;1
KL 1724 ;30/01/2024;13/02/2024;2
KL 1724 ;01/02/2024;16/02/2024;456
KL 1724 ;17/02/2024;17/02/2024;6
KL 1724 ;18/02/2024;24/03/2024;7
KL 1724 ;19/02/2024;29/03/2024;15
KL 1724 ;20/02/2024;20/02/2024;2
KL 1724 ;21/02/2024;24/02/2024;346
KL 1724 ;27/02/2024;26/03/2024;2
KL 1724 ;28/02/2024;30/03/2024;346
DL 7061T;18/01/2018;21/09/2691;1234
DL 7061T;19/01/2018;21/09/2691;5
AF 1582 ;12/02/2024;12/02/2024;1
AF 1582 ;13/02/2024;13/02/2024;2
AF 1582 ;14/02/2024;14/02/2024;3
AF 1582 ;15/02/2024;15/02/2024;4
AF 1582 ;16/02/2024;16/02/2024;5
AF 1582 ;17/02/2024;17/02/2024;6
AF 1582 ;18/02/2024;18/02/2024;7
AF 1582 ;19/02/2024;19/02/2024;1
AF 1582 ;20/02/2024;25/02/2024;27
AF 1582 ;21/02/2024;21/02/2024;3
AF 1582 ;22/02/2024;22/02/2024;4
AF 1582 ;23/02/2024;23/02/2024;5
AF 1582 ;24/02/2024;24/02/2024;6
AF 1582 ;26/02/2024;26/02/2024;1
AF 1582 ;27/02/2024;27/02/2024;2
AF 1582 ;28/02/2024;28/02/2024;3
AF 1582 ;29/02/2024;29/02/2024;4
AF 1582 ;01/03/2024;01/03/2024;5
AF 1582 ;02/03/2024;02/03/2024;6
AF 1582 ;03/03/2024;03/03/2024;7
AF 1582 ;04/03/2024;04/03/2024;1
AF 1582 ;05/03/2024;05/03/2024;2
AF 1582 ;06/03/2024;06/03/2024;3
AF 1582 ;07/03/2024;07/03/2024;4
AF 1582 ;08/03/2024;08/03/2024;5
AF 1582 ;09/03/2024;09/03/2024;6
AF 1582 ;10/03/2024;10/03/2024;7
AF 1582 ;11/03/2024;11/03/2024;1
AF 1582 ;12/03/2024;12/03/2024;2
AF 1582 ;13/03/2024;13/03/2024;3
AF 1582 ;14/03/2024;14/03/2024;4
AF 1582 ;15/03/2024;15/03/2024;5
AF 1582 ;16/03/2024;30/03/2024;6
AF 1582 ;17/03/2024;20/03/2024;37
AF 1582 ;18/03/2024;24/03/2024;17
AF 1582 ;19/03/2024;19/03/2024;2
AF 1582 ;21/03/2024;21/03/2024;4
AF 1582 ;22/03/2024;22/03/2024;5
AF 1582 ;25/03/2024;25/03/2024;1
AF 1582 ;26/03/2024;26/03/2024;2
AF 1582 ;27/03/2024;27/03/2024;3
AF 1582 ;28/03/2024;28/03/2024;4
AF 1582 ;29/03/2024;29/03/2024;5
AF 1582 ;31/03/2024;04/04/2024;247
AF 1582 ;01/04/2024;01/04/2024;1
AF 1582 ;03/04/2024;03/04/2024;3
AF 1582 ;05/04/2024;05/04/2024;5
AF 1582 ;06/04/2024;06/04/2024;6
AF 1582 ;07/04/2024;07/04/2024;7
AF 1582 ;08/04/2024;10/04/2024;13
AF 1582 ;09/04/2024;15/04/2024;12
AF 1582 ;11/04/2024;25/04/2024;4
AF 1582 ;12/04/2024;12/04/2024;5
AF 1582 ;13/04/2024;20/04/2024;6
AF 1582 ;14/04/2024;21/04/2024;7
AF 1582 ;16/04/2024;17/04/2024;23
AF 1582 ;19/04/2024;19/04/2024;5
AF 1582 ;22/04/2024;22/04/2024;1
AF 1582 ;23/04/2024;23/04/2024;2
AF 1582 ;24/04/2024;24/04/2024;3
AF 1582 ;26/04/2024;26/04/2024;5
AF 1582 ;27/04/2024;27/04/2024;6
AF 1582 ;28/04/2024;28/04/2024;7
AF 1582 ;29/04/2024;29/04/2024;1
AF 1582 ;30/04/2024;08/05/2024;234
AF 1582 ;03/05/2024;03/05/2024;5
AF 1582 ;04/05/2024;11/05/2024;6
AF 1582 ;05/05/2024;05/05/2024;7
AF 1582 ;06/05/2024;12/05/2024;17
AF 1582 ;09/05/2024;09/05/2024;4
AF 1582 ;10/05/2024;10/05/2024;5
AF 1582 ;13/05/2024;26/05/2024;17
AF 1582 ;14/05/2024;14/05/2024;2
AF 1582 ;15/05/2024;21/05/2024;23
AF 1582 ;16/05/2024;23/05/2024;34
AF 1582 ;17/05/2024;17/05/2024;5
AF 1582 ;18/05/2024;25/05/2024;6
AF 1582 ;24/05/2024;24/05/2024;5
AF 1582 ;27/05/2024;29/05/2024;123
AF 1582 ;30/05/2024;30/05/2024;4
AF 1582 ;31/05/2024;31/05/2024;5
AF 1582 ;01/06/2024;01/06/2024;6
AF 1582 ;02/06/2024;02/06/2024;7
AF 1582 ;03/06/2024;09/06/2024;147
AF 1582 ;04/06/2024;04/06/2024;2
AF 1582 ;05/06/2024;10/06/2024;13
AF 1582 ;07/06/2024;28/06/2024;5
AF 1582 ;08/06/2024;08/06/2024;6
