vol;deb;fin;frequence
AF009;20/05/2024;25/05/2024;123456
AF009;27/05/2024;30/05/2024;1234
AF009;26/05/2024;02/06/2024;567
AF009;01/07/2024;25/08/2024;1234567
AF009;03/06/2024;30/06/2024;1234567
AF009;26/08/2024;25/10/2024;1234567
AF010;31/03/2024;28/04/2024;1234567
AF010;29/04/2024;04/05/2024;123456
AF010;05/05/2024;19/05/2024;1234567
AF010;20/05/2024;25/05/2024;123456
AF010;27/05/2024;30/05/2024;1234
AF010;26/05/2024;02/06/2024;567
AF010;01/07/2024;25/08/2024;1234567
AF010;03/06/2024;30/06/2024;1234567
AF010;26/08/2024;26/10/2024;1234567
AF011;28/05/2024;28/05/2024;2
AF011;23/05/2024;25/05/2024;46
AF011;27/05/2024;30/05/2024;14
AF011;01/06/2024;26/10/2024;1234567
AF012;27/05/2024;27/05/2024;1
AF012;22/05/2024;24/05/2024;35
AF012;26/05/2024;31/05/2024;357
AF012;01/06/2024;26/10/2024;1234567
AF020;04/04/2024;25/04/2024;24
AF020;06/04/2024;27/04/2024;6
AF020;13/05/2024;13/05/2024;1
AF020;18/05/2024;18/05/2024;6
AF020;02/05/2024;02/05/2024;4
AF020;09/05/2024;09/05/2024;4
AF020;16/05/2024;16/05/2024;4
AF020;23/05/2024;23/05/2024;4
AF020;30/05/2024;30/05/2024;4
AF020;20/05/2024;20/05/2024;1
AF020;25/05/2024;25/05/2024;6
AF020;29/04/2024;11/05/2024;16
AF020;01/06/2024;01/06/2024;6
AF020;03/06/2024;30/06/2024;1234567
AF020;01/07/2024;01/09/2024;1234567
AF020;02/09/2024;26/10/2024;13567
AF021;06/04/2024;27/04/2024;6
AF021;04/04/2024;25/04/2024;24
AF021;27/05/2024;27/05/2024;1
AF021;02/05/2024;02/05/2024;4
AF021;09/05/2024;09/05/2024;4
AF021;29/04/2024;11/05/2024;16
AF021;20/05/2024;20/05/2024;1
AF021;25/05/2024;25/05/2024;6
AF021;16/05/2024;16/05/2024;4
AF021;23/05/2024;23/05/2024;4
AF021;30/05/2024;30/05/2024;4
AF021;18/05/2024;18/05/2024;6
AF021;01/06/2024;01/06/2024;6
AF021;03/06/2024;30/06/2024;1234567
AF021;01/07/2024;01/09/2024;1234567
AF021;26/10/2024;26/10/2024;6
AF021;02/09/2024;25/10/2024;13567
AF022;22/04/2024;22/04/2024;1
AF022;23/04/2024;25/05/2024;1234567
AF022;31/03/2024;21/04/2024;1234567
AF022;26/05/2024;26/10/2024;1234567
AF023;31/03/2024;21/04/2024;123457
AF023;22/04/2024;22/04/2024;1
AF023;06/04/2024;27/04/2024;6
AF023;23/04/2024;24/05/2024;23457
AF023;29/04/2024;20/05/2024;16
AF023;25/05/2024;25/05/2024;6
AF023;26/05/2024;02/06/2024;23457
AF023;27/05/2024;01/06/2024;16
AF023;03/06/2024;02/09/2024;1234567
AF023;03/09/2024;24/10/2024;24
AF023;04/09/2024;25/10/2024;13567
AF023;26/10/2024;26/10/2024;6
AF024;06/04/2024;27/04/2024;6
AF024;31/03/2024;28/04/2024;2457
AF024;01/04/2024;24/04/2024;13
AF024;29/04/2024;25/05/2024;16
AF024;30/04/2024;23/05/2024;24
AF024;28/05/2024;30/05/2024;24
AF024;01/05/2024;24/05/2024;357
AF024;27/05/2024;01/06/2024;16
AF024;26/05/2024;02/06/2024;357
AF024;03/06/2024;02/09/2024;1234567
AF024;04/09/2024;26/10/2024;13567
AF024;03/09/2024;24/10/2024;24
AF025;31/03/2024;25/05/2024;1234567
AF025;26/05/2024;25/10/2024;1234567
AF026;16/05/2024;16/05/2024;4
AF026;04/04/2024;09/05/2024;4
AF026;23/05/2024;30/05/2024;4
AF026;01/04/2024;01/06/2024;16
AF026;03/06/2024;24/10/2024;146
AF026;26/10/2024;26/10/2024;6
AF027;17/05/2024;17/05/2024;5
AF027;05/04/2024;10/05/2024;5
AF027;24/05/2024;31/05/2024;5
AF027;02/04/2024;02/06/2024;27
AF027;04/06/2024;25/10/2024;257
AF028;31/03/2024;31/03/2024;7
AF028;02/04/2024;02/06/2024;27
AF028;04/06/2024;22/10/2024;27
AF029;01/04/2024;03/06/2024;13
AF029;05/06/2024;23/10/2024;13
AF030;07/04/2024;21/04/2024;7
AF030;31/03/2024;06/04/2024;2467
AF030;09/04/2024;27/04/2024;246
AF030;28/04/2024;04/05/2024;267
AF030;02/05/2024;05/05/2024;47
AF030;07/05/2024;25/05/2024;2467
AF030;01/04/2024;24/05/2024;135
AF030;26/05/2024;26/10/2024;2467
AF030;27/05/2024;25/10/2024;135
AF031;01/04/2024;26/04/2024;1357
AF031;31/03/2024;06/04/2024;2467
AF031;09/04/2024;27/04/2024;246
AF031;02/05/2024;05/05/2024;47
AF031;06/05/2024;24/05/2024;1234567
AF031;28/04/2024;04/05/2024;123567
AF031;25/05/2024;25/05/2024;6
AF031;23/06/2024;30/06/2024;234567
AF031;26/05/2024;22/06/2024;567
AF031;27/05/2024;20/06/2024;1234
AF031;26/10/2024;26/10/2024;6
AF031;01/07/2024;25/10/2024;1234567
AF032;22/04/2024;22/04/2024;1
AF032;11/04/2024;11/04/2024;4
AF032;05/04/2024;08/04/2024;15
AF032;31/03/2024;04/04/2024;12347
AF032;07/04/2024;21/04/2024;7
AF032;13/04/2024;18/04/2024;246
AF032;23/04/2024;30/04/2024;246
AF032;20/04/2024;20/04/2024;6
AF032;28/04/2024;28/04/2024;7
AF032;09/04/2024;09/04/2024;2
AF032;10/04/2024;19/04/2024;135
AF032;24/04/2024;24/05/2024;135
AF032;02/05/2024;05/05/2024;47
AF032;04/05/2024;04/05/2024;6
AF032;07/05/2024;25/05/2024;2467
AF032;26/05/2024;26/10/2024;1234567
AF033;31/03/2024;06/04/2024;2467
AF033;01/04/2024;03/04/2024;13
AF033;05/04/2024;08/04/2024;15
AF033;07/04/2024;21/04/2024;7
AF033;09/04/2024;09/04/2024;2
AF033;11/04/2024;11/04/2024;4
AF033;13/04/2024;18/04/2024;246
AF033;23/04/2024;27/04/2024;246
AF033;28/04/2024;28/04/2024;7
AF033;22/04/2024;22/04/2024;1
AF033;20/04/2024;20/04/2024;6
AF033;30/04/2024;30/04/2024;2
AF033;02/05/2024;05/05/2024;47
AF033;04/05/2024;04/05/2024;6
AF033;07/05/2024;25/05/2024;2467
AF033;10/04/2024;19/04/2024;135
AF033;24/04/2024;24/05/2024;135
AF033;27/05/2024;25/10/2024;135
AF033;26/05/2024;24/10/2024;2467
AF034;07/04/2024;21/04/2024;7
AF034;26/04/2024;26/04/2024;5
AF034;03/04/2024;05/04/2024;35
AF034;10/04/2024;24/04/2024;35
AF034;28/04/2024;04/05/2024;267
AF034;07/05/2024;25/05/2024;26
AF034;29/04/2024;03/05/2024;135
AF034;06/05/2024;30/08/2024;135
AF034;28/05/2024;26/10/2024;2467
AF035;07/04/2024;21/04/2024;7
AF035;10/04/2024;24/04/2024;35
AF035;26/04/2024;26/04/2024;5
AF035;03/04/2024;05/04/2024;35
AF035;28/04/2024;04/05/2024;267
AF035;29/04/2024;03/05/2024;135
AF035;07/05/2024;25/05/2024;26
AF035;06/05/2024;30/08/2024;135
AF035;28/05/2024;24/10/2024;2467
AF040;27/05/2024;27/05/2024;1
AF041;13/05/2024;13/05/2024;1
AF042;20/06/2024;21/06/2024;45
AF043;15/06/2024;16/06/2024;67
AF049;31/03/2024;31/03/2024;7
AF050;01/04/2024;11/05/2024;1246
AF050;31/03/2024;10/05/2024;357
AF050;12/05/2024;26/10/2024;1234567
AF051;01/04/2024;11/05/2024;1246
AF051;31/03/2024;10/05/2024;357
AF051;12/05/2024;25/05/2024;1234567
AF051;26/05/2024;25/10/2024;1234567
AF051;26/10/2024;26/10/2024;6
AF052;31/03/2024;31/03/2024;7
AF052;03/04/2024;05/04/2024;35
AF052;07/04/2024;07/04/2024;7
AF052;10/04/2024;05/05/2024;357
AF052;08/05/2024;12/05/2024;357
AF052;13/05/2024;24/05/2024;12357
AF052;26/05/2024;31/05/2024;12357
AF052;02/06/2024;26/10/2024;1234567
AF053;31/03/2024;31/03/2024;7
AF053;03/04/2024;05/04/2024;35
AF053;07/04/2024;07/04/2024;7
AF053;10/04/2024;05/05/2024;357
AF053;08/05/2024;12/05/2024;357
AF053;13/05/2024;24/05/2024;12357
AF053;26/05/2024;31/05/2024;12357
AF053;02/06/2024;25/10/2024;1234567
AF062;31/03/2024;25/05/2024;1234567
AF062;26/05/2024;26/10/2024;1234567
AF063;31/03/2024;25/05/2024;1234567
AF063;26/05/2024;25/10/2024;1234567
AF063;26/10/2024;26/10/2024;6
AF068;23/05/2024;26/10/2024;246
AF069;30/03/2024;30/03/2024;6
AF069;23/05/2024;24/10/2024;246
AF069;26/10/2024;26/10/2024;6
AF077;31/03/2024;31/03/2024;7
AF081;08/05/2024;24/05/2024;357
AF081;26/05/2024;02/06/2024;357
AF081;05/06/2024;28/06/2024;357
AF081;30/06/2024;03/08/2024;1234567
AF081;04/08/2024;25/10/2024;13567
AF082;08/05/2024;24/05/2024;357
AF082;26/05/2024;02/06/2024;357
AF082;05/06/2024;30/06/2024;357
AF082;01/07/2024;04/08/2024;1234567
AF082;05/08/2024;26/10/2024;13567
AF083;26/05/2024;25/10/2024;1234567
AF083;31/03/2024;25/05/2024;1234567
AF083;26/10/2024;26/10/2024;6
AF084;31/03/2024;25/05/2024;1234567
AF084;26/05/2024;26/10/2024;1234567
AF090;31/03/2024;25/05/2024;1234567
AF090;26/05/2024;26/10/2024;1234567
AF092;31/03/2024;31/03/2024;7
AF092;03/04/2024;03/04/2024;3
AF092;05/04/2024;07/04/2024;567
AF092;02/04/2024;02/04/2024;2
AF092;09/04/2024;30/04/2024;2
AF092;10/04/2024;05/05/2024;3567
AF092;06/05/2024;25/05/2024;13567
AF092;26/05/2024;01/09/2024;13567
AF095;30/03/2024;30/03/2024;6
AF097;03/04/2024;03/04/2024;3
AF097;05/04/2024;07/04/2024;567
AF097;02/04/2024;02/04/2024;2
AF097;31/03/2024;31/03/2024;7
AF097;09/04/2024;30/04/2024;2
AF097;10/04/2024;05/05/2024;3567
AF097;26/05/2024;01/09/2024;13567
AF097;08/05/2024;25/05/2024;356
AF097;06/05/2024;20/05/2024;17
AF099;30/03/2024;30/03/2024;6
AF099;31/03/2024;25/05/2024;1234567
AF099;26/05/2024;25/10/2024;1234567
AF1000;31/03/2024;07/04/2024;7
AF1000;02/04/2024;04/04/2024;24
AF1000;14/04/2024;28/04/2024;7
AF1000;22/04/2024;22/04/2024;1
AF1000;24/04/2024;24/04/2024;3
AF1000;25/04/2024;25/04/2024;4
AF1000;05/04/2024;05/04/2024;5
AF1000;09/04/2024;09/04/2024;2
AF1000;10/04/2024;10/04/2024;3
AF1000;23/04/2024;23/04/2024;2
AF1000;29/04/2024;29/04/2024;1
AF1000;30/04/2024;04/05/2024;26
AF1000;02/05/2024;09/05/2024;4
AF1000;05/05/2024;05/05/2024;7
AF1000;07/05/2024;07/05/2024;2
AF1000;08/05/2024;08/05/2024;3
AF1000;12/05/2024;12/05/2024;7
AF1000;10/05/2024;05/07/2024;23456
AF1000;08/04/2024;15/04/2024;1
AF1000;13/05/2024;01/07/2024;17
AF1000;26/04/2024;01/05/2024;356
AF1000;06/05/2024;06/05/2024;1
AF1000;01/04/2024;01/04/2024;1
AF1000;03/04/2024;03/04/2024;3
AF1000;06/04/2024;06/04/2024;6
AF1000;11/04/2024;20/04/2024;23456
AF1000;03/09/2024;26/10/2024;23456
AF1000;02/09/2024;21/10/2024;17
AF1001;14/04/2024;21/04/2024;7
AF1001;22/04/2024;22/04/2024;1
AF1001;24/04/2024;24/04/2024;3
AF1001;25/04/2024;25/04/2024;4
AF1001;26/04/2024;26/04/2024;5
AF1001;28/04/2024;28/04/2024;7
AF1001;02/04/2024;02/04/2024;2
AF1001;04/04/2024;04/04/2024;4
AF1001;03/04/2024;03/04/2024;3
AF1001;05/04/2024;05/04/2024;5
AF1001;01/04/2024;01/04/2024;1
AF1001;31/03/2024;07/04/2024;7
AF1001;09/04/2024;09/04/2024;2
AF1001;06/04/2024;06/04/2024;6
AF1001;29/04/2024;29/04/2024;1
AF1001;10/04/2024;10/04/2024;3
AF1001;11/04/2024;19/04/2024;345
AF1001;23/04/2024;23/04/2024;2
AF1001;13/04/2024;20/04/2024;26
AF1001;27/04/2024;27/04/2024;6
AF1001;30/04/2024;30/04/2024;2
AF1001;08/04/2024;15/04/2024;1
AF1001;15/05/2024;17/05/2024;345
AF1001;19/05/2024;19/05/2024;7
AF1001;06/05/2024;13/05/2024;1
AF1001;02/05/2024;09/05/2024;4
AF1001;04/05/2024;04/05/2024;6
AF1001;05/05/2024;05/05/2024;7
AF1001;07/05/2024;07/05/2024;2
AF1001;03/05/2024;03/05/2024;5
AF1001;10/05/2024;14/05/2024;25
AF1001;08/05/2024;08/05/2024;3
AF1001;01/05/2024;01/05/2024;3
AF1001;12/05/2024;12/05/2024;7
AF1001;11/05/2024;29/06/2024;6
AF1001;20/05/2024;01/07/2024;17
AF1001;21/05/2024;05/07/2024;2345
AF1001;03/09/2024;04/10/2024;2345
AF1001;02/09/2024;21/10/2024;1
AF1001;13/10/2024;20/10/2024;7
AF1001;22/10/2024;25/10/2024;25
AF1001;09/10/2024;23/10/2024;35
AF1001;10/10/2024;24/10/2024;4
AF1001;08/09/2024;06/10/2024;7
AF1001;07/09/2024;26/10/2024;6
AF1001;08/10/2024;15/10/2024;2
AF1002;06/04/2024;06/04/2024;6
AF1002;20/04/2024;20/04/2024;6
AF1002;13/04/2024;13/04/2024;6
AF1002;27/04/2024;27/04/2024;6
AF1002;11/05/2024;11/05/2024;6
AF1002;12/07/2024;19/07/2024;5
AF1002;08/07/2024;28/08/2024;13
AF1002;09/07/2024;27/08/2024;2
AF1002;02/08/2024;30/08/2024;5
AF1002;11/07/2024;29/08/2024;4
AF1002;07/07/2024;01/09/2024;7
AF1002;04/05/2024;04/05/2024;6
AF1002;18/05/2024;26/10/2024;6
AF1003;06/04/2024;06/04/2024;6
AF1003;13/04/2024;13/04/2024;6
AF1003;20/04/2024;20/04/2024;6
AF1003;27/04/2024;27/04/2024;6
AF1003;11/05/2024;11/05/2024;6
AF1003;12/07/2024;19/07/2024;5
AF1003;11/07/2024;29/08/2024;4
AF1003;02/08/2024;30/08/2024;5
AF1003;08/07/2024;28/08/2024;13
AF1003;09/07/2024;27/08/2024;2
AF1003;07/07/2024;01/09/2024;7
AF1003;04/05/2024;04/05/2024;6
AF1003;18/05/2024;26/10/2024;6
AF1004;24/04/2024;24/04/2024;3
AF1004;03/04/2024;03/04/2024;3
AF1004;13/04/2024;13/04/2024;6
AF1004;21/04/2024;21/04/2024;7
AF1004;29/04/2024;29/04/2024;1
AF1004;11/05/2024;11/05/2024;6
AF1004;31/03/2024;02/04/2024;127
AF1004;04/04/2024;12/04/2024;1234567
AF1004;22/04/2024;23/04/2024;12
AF1004;25/04/2024;28/04/2024;4567
AF1004;14/04/2024;20/04/2024;1234567
AF1004;12/05/2024;05/07/2024;1234567
AF1004;30/04/2024;10/05/2024;1234567
AF1004;06/07/2024;31/08/2024;26
AF1004;11/07/2024;29/08/2024;4
AF1004;07/07/2024;01/09/2024;1357
AF1004;02/09/2024;26/10/2024;1234567
AF1005;31/03/2024;31/03/2024;7
AF1005;25/04/2024;25/04/2024;4
AF1005;26/04/2024;26/04/2024;5
AF1005;01/04/2024;03/04/2024;13
AF1005;04/04/2024;04/04/2024;4
AF1005;22/04/2024;22/04/2024;1
AF1005;05/04/2024;19/04/2024;1345
AF1005;24/04/2024;24/04/2024;3
AF1005;14/04/2024;14/04/2024;7
AF1005;02/04/2024;13/04/2024;267
AF1005;16/04/2024;27/04/2024;267
AF1005;30/04/2024;30/04/2024;2
AF1005;12/05/2024;12/05/2024;7
AF1005;28/04/2024;29/04/2024;17
AF1005;01/05/2024;11/05/2024;1234567
AF1005;13/05/2024;05/07/2024;1234567
AF1005;12/07/2024;30/08/2024;5
AF1005;06/07/2024;01/09/2024;123467
AF1005;02/09/2024;06/10/2024;1234567
AF1005;19/10/2024;26/10/2024;124567
AF1005;09/10/2024;23/10/2024;35
AF1005;07/10/2024;17/10/2024;12467
AF1006;26/04/2024;28/04/2024;57
AF1006;22/04/2024;22/04/2024;1
AF1006;24/04/2024;25/04/2024;34
AF1006;14/04/2024;14/04/2024;7
AF1006;31/03/2024;09/04/2024;27
AF1006;16/04/2024;23/04/2024;27
AF1006;05/04/2024;12/04/2024;5
AF1006;01/04/2024;11/04/2024;134
AF1006;15/04/2024;19/04/2024;1345
AF1006;06/05/2024;12/05/2024;1237
AF1006;13/05/2024;17/05/2024;12345
AF1006;29/04/2024;02/05/2024;14
AF1006;30/04/2024;05/05/2024;257
AF1006;21/05/2024;05/07/2024;123457
AF1006;08/07/2024;30/08/2024;12345
AF1006;07/07/2024;01/09/2024;7
AF1006;02/09/2024;06/10/2024;123457
AF1006;21/10/2024;25/10/2024;1245
AF1006;09/10/2024;23/10/2024;35
AF1006;07/10/2024;20/10/2024;1247
AF1007;05/04/2024;05/04/2024;5
AF1007;31/03/2024;11/04/2024;12347
AF1007;26/04/2024;28/04/2024;57
AF1007;23/04/2024;25/04/2024;234
AF1007;15/04/2024;21/04/2024;123457
AF1007;22/04/2024;22/04/2024;1
AF1007;12/04/2024;14/04/2024;57
AF1007;06/05/2024;12/05/2024;1237
AF1007;13/05/2024;17/05/2024;12345
AF1007;30/04/2024;05/05/2024;257
AF1007;29/04/2024;02/05/2024;14
AF1007;21/05/2024;05/07/2024;123457
AF1007;07/07/2024;01/09/2024;7
AF1007;08/07/2024;25/10/2024;12345
AF1007;08/09/2024;20/10/2024;7
AF1008;01/05/2024;01/05/2024;3
AF1008;08/05/2024;08/05/2024;3
AF1008;07/07/2024;22/07/2024;157
AF1008;28/07/2024;01/09/2024;157
AF1008;27/04/2024;26/10/2024;6
AF1009;01/05/2024;01/05/2024;3
AF1009;08/05/2024;08/05/2024;3
AF1009;07/07/2024;22/07/2024;157
AF1009;28/07/2024;01/09/2024;157
AF1009;27/04/2024;26/10/2024;6
AF1010;04/04/2024;13/04/2024;46
AF1010;02/04/2024;30/04/2024;2
AF1010;07/05/2024;02/07/2024;2
AF1010;04/05/2024;04/07/2024;46
AF1010;20/04/2024;27/04/2024;46
AF1010;08/07/2024;30/08/2024;12345
AF1010;03/09/2024;22/10/2024;2
AF1010;05/09/2024;26/10/2024;46
AF1011;04/04/2024;11/04/2024;4
AF1011;06/04/2024;13/04/2024;6
AF1011;20/04/2024;27/04/2024;6
AF1011;25/04/2024;25/04/2024;4
AF1011;02/04/2024;23/04/2024;2
AF1011;30/04/2024;30/04/2024;2
AF1011;04/05/2024;04/07/2024;46
AF1011;07/05/2024;02/07/2024;2
AF1011;08/07/2024;30/08/2024;12345
AF1011;03/09/2024;22/10/2024;2
AF1011;05/09/2024;26/10/2024;46
AF1012;14/04/2024;21/04/2024;7
AF1012;28/04/2024;28/04/2024;7
AF1012;31/03/2024;07/04/2024;7
AF1012;05/05/2024;05/05/2024;7
AF1012;12/05/2024;12/05/2024;7
AF1012;19/05/2024;30/06/2024;7
AF1012;01/04/2024;05/07/2024;123456
AF1012;06/07/2024;31/08/2024;6
AF1012;07/07/2024;01/09/2024;123457
AF1012;02/09/2024;26/10/2024;123456
AF1012;08/09/2024;20/10/2024;7
AF1013;14/04/2024;21/04/2024;7
AF1013;28/04/2024;28/04/2024;7
AF1013;31/03/2024;07/04/2024;7
AF1013;05/05/2024;05/05/2024;7
AF1013;12/05/2024;12/05/2024;7
AF1013;19/05/2024;30/06/2024;7
AF1013;01/04/2024;29/06/2024;123456
AF1013;06/07/2024;31/08/2024;6
AF1013;01/07/2024;01/09/2024;123457
AF1013;07/09/2024;26/10/2024;6
AF1013;08/09/2024;20/10/2024;7
AF1013;02/09/2024;25/10/2024;12345
AF1014;08/05/2024;08/05/2024;3
AF1014;01/05/2024;01/05/2024;3
AF1014;28/04/2024;30/06/2024;7
AF1014;08/07/2024;25/07/2024;12345
AF1014;29/07/2024;30/08/2024;12345
AF1014;08/09/2024;29/09/2024;7
AF1014;07/07/2024;01/09/2024;7
AF1015;08/05/2024;08/05/2024;3
AF1015;01/05/2024;01/05/2024;3
AF1015;28/04/2024;30/06/2024;7
AF1015;08/07/2024;25/07/2024;12345
AF1015;29/07/2024;30/08/2024;12345
AF1015;08/09/2024;29/09/2024;7
AF1015;07/07/2024;01/09/2024;7
AF1016;01/04/2024;26/04/2024;1345
AF1016;28/04/2024;28/04/2024;7
AF1016;31/03/2024;27/04/2024;267
AF1016;29/04/2024;11/05/2024;1256
AF1016;13/05/2024;18/05/2024;126
AF1016;12/05/2024;12/05/2024;7
AF1016;01/05/2024;09/05/2024;347
AF1016;15/05/2024;19/05/2024;3457
AF1016;20/05/2024;05/07/2024;1234567
AF1016;06/07/2024;01/09/2024;1234567
AF1016;11/10/2024;18/10/2024;5
AF1016;07/10/2024;15/10/2024;126
AF1016;19/10/2024;26/10/2024;1256
AF1016;10/10/2024;24/10/2024;47
AF1016;09/10/2024;23/10/2024;3
AF1016;02/09/2024;06/10/2024;1234567
AF1017;28/04/2024;28/04/2024;7
AF1017;31/03/2024;27/04/2024;267
AF1017;01/04/2024;26/04/2024;1345
AF1017;29/04/2024;14/05/2024;125
AF1017;01/05/2024;09/05/2024;347
AF1017;12/05/2024;12/05/2024;7
AF1017;15/05/2024;19/05/2024;3457
AF1017;04/05/2024;06/07/2024;6
AF1017;20/05/2024;05/07/2024;123457
AF1017;07/07/2024;01/09/2024;1234567
AF1017;02/09/2024;02/09/2024;1
AF1017;03/09/2024;06/10/2024;123457
AF1017;10/10/2024;24/10/2024;47
AF1017;07/09/2024;26/10/2024;6
AF1017;21/10/2024;25/10/2024;125
AF1017;09/10/2024;23/10/2024;35
AF1017;07/10/2024;15/10/2024;12
AF1018;14/04/2024;21/04/2024;7
AF1018;28/04/2024;28/04/2024;7
AF1018;31/03/2024;07/04/2024;7
AF1018;02/04/2024;11/04/2024;24
AF1018;13/04/2024;20/04/2024;6
AF1018;29/04/2024;29/04/2024;1
AF1018;01/04/2024;01/04/2024;1
AF1018;05/04/2024;12/04/2024;5
AF1018;25/04/2024;25/04/2024;4
AF1018;16/04/2024;23/04/2024;245
AF1018;26/04/2024;26/04/2024;5
AF1018;27/04/2024;27/04/2024;6
AF1018;06/05/2024;15/05/2024;13
AF1018;04/05/2024;18/05/2024;6
AF1018;02/05/2024;03/05/2024;45
AF1018;05/05/2024;12/05/2024;7
AF1018;03/04/2024;10/04/2024;136
AF1018;15/04/2024;24/04/2024;13
AF1018;01/05/2024;01/05/2024;3
AF1018;10/05/2024;10/05/2024;5
AF1018;19/05/2024;30/06/2024;7
AF1018;25/05/2024;29/06/2024;6
AF1018;06/07/2024;07/07/2024;67
AF1018;20/05/2024;03/07/2024;13
AF1018;07/05/2024;09/05/2024;24
AF1018;30/04/2024;30/04/2024;2
AF1018;14/05/2024;05/07/2024;245
AF1018;10/07/2024;29/08/2024;34
AF1018;08/07/2024;30/08/2024;125
AF1018;13/07/2024;01/09/2024;67
AF1018;03/09/2024;25/10/2024;245
AF1018;02/09/2024;23/10/2024;13
AF1018;08/09/2024;20/10/2024;7
AF1018;07/09/2024;26/10/2024;6
AF1019;04/04/2024;25/04/2024;4
AF1019;06/04/2024;27/04/2024;6
AF1019;08/04/2024;22/04/2024;1
AF1019;01/04/2024;01/04/2024;1
AF1019;14/04/2024;21/04/2024;7
AF1019;31/03/2024;09/04/2024;27
AF1019;16/04/2024;23/04/2024;2
AF1019;30/04/2024;30/04/2024;2
AF1019;26/04/2024;26/04/2024;5
AF1019;03/04/2024;24/04/2024;35
AF1019;28/04/2024;28/04/2024;7
AF1019;29/04/2024;06/05/2024;156
AF1019;02/05/2024;07/07/2024;247
AF1019;01/05/2024;01/05/2024;3
AF1019;08/05/2024;06/07/2024;1356
AF1019;09/07/2024;31/08/2024;23456
AF1019;08/07/2024;01/09/2024;17
AF1019;03/09/2024;24/10/2024;247
AF1019;02/09/2024;05/10/2024;1356
AF1019;19/10/2024;26/10/2024;156
AF1019;09/10/2024;23/10/2024;35
AF1019;07/10/2024;14/10/2024;16
AF1020;26/04/2024;05/07/2024;5
AF1020;21/04/2024;30/06/2024;7
AF1020;06/07/2024;31/08/2024;16
AF1020;09/07/2024;29/08/2024;234
AF1020;07/07/2024;01/09/2024;57
AF1020;06/09/2024;25/10/2024;5
AF1020;08/09/2024;20/10/2024;7
AF1021;26/04/2024;05/07/2024;5
AF1021;21/04/2024;30/06/2024;7
AF1021;06/07/2024;31/08/2024;16
AF1021;09/07/2024;29/08/2024;234
AF1021;07/07/2024;01/09/2024;57
AF1021;06/09/2024;25/10/2024;5
AF1021;08/09/2024;20/10/2024;7
AF1022;10/04/2024;10/04/2024;3
AF1022;08/04/2024;08/04/2024;1
AF1022;11/04/2024;18/04/2024;4
AF1022;22/04/2024;22/04/2024;1
AF1022;24/04/2024;25/04/2024;34
AF1022;04/04/2024;04/04/2024;4
AF1022;03/04/2024;03/04/2024;3
AF1022;15/04/2024;15/04/2024;1
AF1022;17/04/2024;17/04/2024;3
AF1022;29/04/2024;29/04/2024;1
AF1022;06/05/2024;06/05/2024;1
AF1022;08/05/2024;08/05/2024;3
AF1022;09/05/2024;09/05/2024;4
AF1022;13/05/2024;03/07/2024;13
